kind,quantizer,run_name,state,tokens,loss,params,total_gflops,gflops_bucket_gflops,gflops_bucket_flops,wandb_url,gflops_bucket,C_flops,T_star,P_star,loss_star,a,b,c,logT_star,a_under,a_over,seed,C_nom
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+18-d896-L10-B32-adamh_scaling_v6,finished,4728946688.0,3.406589984893799,358306688.0,9000084122.797867,9000000000.0,9e+18,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B18-d896-L10-B32-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+18-d512-L6-B64-adamh_scaling_v6,finished,12914786304.0,3.612959861755371,156508160.0,9000018258.40064,9000000000.0,9e+18,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B18-d512-L6-B64-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-3e+18-d1024-L11-B8-adamh_scaling_v6,finished,1223393280.0,3.5897252559661865,447244032.0,2999996780.0131583,3000000000.0,3e+18,https://wandb.ai/marin-community/marin/runs/isoflop-3e%2B18-d1024-L11-B8-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+18-d1408-L15-B8-adamh_scaling_v6,finished,1806336000.0,3.4118924140930176,837007744.0,8999938427.977728,9000000000.0,9e+18,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B18-d1408-L15-B8-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+18-d1280-L13-B16-adamh_scaling_v6,finished,2336227328.0,3.39889144897461,669160448.0,9000107576.54053,9000000000.0,9e+18,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B18-d1280-L13-B16-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+18-d1024-L11-B16-adamh_scaling_v6,finished,3670212608.0,3.3922574520111084,447244032.0,9000070693.508875,9000000000.0,9e+18,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B18-d1024-L11-B16-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-3e+18-d768-L8-B16-adamh_scaling_v6,finished,2225930240.0,3.6080822944641113,272513792.0,2999992672.9506817,3000000000.0,3e+18,https://wandb.ai/marin-community/marin/runs/isoflop-3e%2B18-d768-L8-B16-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-3e+18-d640-L7-B16-adamh_scaling_v6,finished,3032612864.0,3.6375651359558105,210054272.0,2999998446.99734,3000000000.0,3e+18,https://wandb.ai/marin-community/marin/runs/isoflop-3e%2B18-d640-L7-B16-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-3e+18-d512-L6-B32-adamh_scaling_v6,finished,4304928768.0,3.710956335067749,156508160.0,3000006086.133547,3000000000.0,3e+18,https://wandb.ai/marin-community/marin/runs/isoflop-3e%2B18-d512-L6-B32-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+19-d768-L8-B64-adamh_scaling_v6,finished,13355712512.0,3.379293918609619,272513792.0,18000132689.708973,18000000000.0,1.8e+19,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B19-d768-L8-B64-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+19-d640-L7-B128-adamh_scaling_v6,finished,18195939328.0,3.460998058319092,210054272.0,18000250006.740665,18000000000.0,1.8e+19,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B19-d640-L7-B128-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+19-d512-L6-B128-adamh_scaling_v6,finished,25829572608.0,3.5669121742248535,156508160.0,18000036516.80128,18000000000.0,1.8e+19,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B19-d512-L6-B128-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+19-d1792-L18-B8-adamh_scaling_v6,finished,2111995904.0,3.311973571777344,1384584448.0,18000138425.100925,18000000000.0,1.8e+19,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B19-d1792-L18-B8-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+19-d1280-L13-B32-adamh_scaling_v6,finished,4672454656.0,3.277182340621948,669160448.0,18000215153.08106,18000000000.0,1.8e+19,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B19-d1280-L13-B32-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+18-d768-L8-B32-adamh_scaling_v6,finished,6677856256.0,3.4505293369293213,272513792.0,9000066344.854486,9000000000.0,9e+18,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B18-d768-L8-B32-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-3e+18-d896-L10-B8-adamh_scaling_v6,finished,1576304640.0,3.5860671997070312,358306688.0,3000007253.0224743,3000000000.0,3e+18,https://wandb.ai/marin-community/marin/runs/isoflop-3e%2B18-d896-L10-B8-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+19-d1408-L15-B16-adamh_scaling_v6,finished,3612672000.0,3.2743659019470215,837007744.0,17999876855.955456,18000000000.0,1.8e+19,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B19-d1408-L15-B16-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+18-d1536-L16-B8-adamh_scaling_v6,finished,1494777856.0,3.4297664165496826,998036992.0,8999942959.034008,9000000000.0,9e+18,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B18-d1536-L16-B8-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+18-d1152-L12-B16-adamh_scaling_v6,finished,2904358912.0,3.38401460647583,550337664.0,8999992079.50123,9000000000.0,9e+18,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B18-d1152-L12-B16-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+19-d896-L10-B64-adamh_scaling_v6,finished,9457893376.0,3.319996118545532,358306688.0,18000168245.595734,18000000000.0,1.8e+19,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B19-d896-L10-B64-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+19-d2304-L23-B8-adamh_scaling_v6,finished,1117061120.0,3.4183053970336914,2544614912.0,18000231235.049225,18000000000.0,1.8e+19,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B19-d2304-L23-B8-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+19-d2176-L22-B8-adamh_scaling_v6,finished,1281916928.0,3.3925981521606445,2224985216.0,18000127981.08264,18000000000.0,1.8e+19,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B19-d2176-L22-B8-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+19-d1664-L17-B16-adamh_scaling_v6,finished,2500722688.0,3.299975872039795,1180038272.0,17999964079.49348,18000000000.0,1.8e+19,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B19-d1664-L17-B16-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+19-d1024-L11-B32-adamh_scaling_v6,finished,7340425216.0,3.2910728454589844,447244032.0,18000141387.01775,18000000000.0,1.8e+19,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B19-d1024-L11-B32-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+19-d1792-L18-B64-adamh_scaling_v6,finished,10559946752.0,3.0414915084838867,1384584448.0,90000412850.08804,90000000000.0,9e+19,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B19-d1792-L18-B64-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-3e+19-d2816-L28-B8-adamh_scaling_v6,finished,1095663616.0,3.394176959991455,4275080960.0,30000049287.47235,30000000000.0,3e+19,https://wandb.ai/marin-community/marin/runs/isoflop-3e%2B19-d2816-L28-B8-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-3e+19-d2560-L26-B8-adamh_scaling_v6,finished,1387692032.0,3.345737934112549,3383110656.0,29999853720.43149,30000000000.0,3e+19,https://wandb.ai/marin-community/marin/runs/isoflop-3e%2B19-d2560-L26-B8-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+20-d768-L8-B512-adamh_scaling_v6,finished,133557125120.0,3.253106117248535,272513792.0,180001326897.08975,180000000000.0,1.8e+20,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B20-d768-L8-B512-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+20-d1280-L13-B256-adamh_scaling_v6,finished,46723497984.0,3.012056350708008,669160448.0,179998111985.21967,180000000000.0,1.8e+20,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B20-d1280-L13-B256-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+19-d3840-L37-B8-adamh_scaling_v6,finished,1443332096.0,3.2813875675201416,9714698752.0,90000163075.45964,90000000000.0,9e+19,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B19-d3840-L37-B8-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+19-d3072-L30-B16-adamh_scaling_v6,finished,2639331328.0,3.1687324047088623,5318048256.0,89999865190.2182,90000000000.0,9e+19,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B19-d3072-L30-B16-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+20-d1792-L18-B128-adamh_scaling_v6,finished,21119893504.0,2.951382875442505,1384584448.0,180000825700.1761,180000000000.0,1.8e+20,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B20-d1792-L18-B128-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+19-d1024-L11-B256-adamh_scaling_v6,finished,36702257152.0,3.1380486488342285,447244032.0,90001028348.96634,90000000000.0,9e+19,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B19-d1024-L11-B256-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+20-d1536-L16-B128-adamh_scaling_v6,finished,29895950336.0,2.966437339782715,998036992.0,180001226704.09265,180000000000.0,1.8e+20,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B20-d1536-L16-B128-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-2e+20-d1024-L11-B512-adamh_scaling_v6,finished,73404514304.0,3.095740795135498,447244032.0,180002056697.93268,180000000000.0,1.8e+20,https://wandb.ai/marin-community/marin/runs/isoflop-2e%2B20-d1024-L11-B512-adamh_scaling_v6,,,,,,,,,,,,,
isoflop,Delphi Scaling Suite (AdamH),isoflop-9e+19-d3584-L35-B8-adamh_scaling_v6,finished,1726808064.0,3.2434897422790527,8112833792.0,89999783677.10764,90000000000.0,9e+19,https://wandb.ai/marin-community/marin/runs/isoflop-9e%2B19-d3584-L35-B8-adamh_scaling_v6,,,,,,,,,,,,,
