_step,train/CrossEntropyLoss,_segment
1,12.552985191345215,zkvpnkk2
32,8.399090766906738,zkvpnkk2
63,7.370793342590332,zkvpnkk2
94,6.815364837646484,zkvpnkk2
125,6.450775146484375,zkvpnkk2
156,6.28696870803833,zkvpnkk2
187,6.011194705963135,zkvpnkk2
218,5.681966781616211,zkvpnkk2
249,5.5263166427612305,zkvpnkk2
280,5.2753496170043945,zkvpnkk2
311,5.115195274353027,zkvpnkk2
342,4.9180097579956055,zkvpnkk2
373,4.71425199508667,zkvpnkk2
404,4.492103576660156,zkvpnkk2
435,4.420424461364746,zkvpnkk2
466,4.276726722717285,zkvpnkk2
497,4.147460460662842,zkvpnkk2
528,4.050187587738037,zkvpnkk2
559,4.011675834655762,zkvpnkk2
590,3.881779193878174,zkvpnkk2
621,3.826838493347168,zkvpnkk2
652,3.815978765487671,zkvpnkk2
683,3.718212366104126,zkvpnkk2
714,3.6822962760925293,zkvpnkk2
745,3.6955044269561768,zkvpnkk2
776,3.6051337718963623,zkvpnkk2
807,3.5277929306030273,zkvpnkk2
838,3.583604574203491,zkvpnkk2
869,3.5634870529174805,zkvpnkk2
900,3.482553720474243,zkvpnkk2
931,3.7170963287353516,zkvpnkk2
962,3.4292542934417725,zkvpnkk2
993,3.503357410430908,zkvpnkk2
1024,3.3510327339172363,zkvpnkk2
1055,3.445242404937744,zkvpnkk2
1086,3.313955307006836,zkvpnkk2
1148,3.2738842964172363,wpvcpapk
1362,3.1444449424743652,wpvcpapk
1591,3.0317459106445312,wpvcpapk
1830,2.9388794898986816,wpvcpapk
2048,2.879915237426758,wpvcpapk
2302,2.840534210205078,wpvcpapk
2572,2.78639554977417,wpvcpapk
2782,2.7648444175720215,wpvcpapk
3008,2.756392002105713,wpvcpapk
3210,2.7130329608917236,wpvcpapk
3468,2.7153522968292236,wpvcpapk
3619,2.694058895111084,wpvcpapk
3867,2.6651995182037354,wpvcpapk
4076,2.658783197402954,wpvcpapk
4321,2.6457324028015137,wpvcpapk
4526,2.6190946102142334,wpvcpapk
4790,2.6384761333465576,wpvcpapk
5026,2.614370584487915,wpvcpapk
5282,2.587244987487793,wpvcpapk
5573,2.5836451053619385,wpvcpapk
5749,2.5907862186431885,wpvcpapk
5966,2.5741806030273438,wpvcpapk
6222,2.584913492202759,wpvcpapk
6457,2.5525906085968018,wpvcpapk
6689,2.559016227722168,wpvcpapk
6905,2.5452892780303955,wpvcpapk
7112,2.5360608100891113,wpvcpapk
7308,2.553687810897827,wpvcpapk
7568,2.5399889945983887,wpvcpapk
7806,2.5378642082214355,wpvcpapk
8005,2.5209858417510986,wpvcpapk
8246,2.519326686859131,wpvcpapk
8471,2.5148701667785645,wpvcpapk
8665,2.514085054397583,wpvcpapk
8837,2.5158095359802246,wpvcpapk
9044,2.5172512531280518,wpvcpapk
9348,2.5098607540130615,wpvcpapk
9566,2.4972310066223145,wpvcpapk
9765,2.488618850708008,wpvcpapk
9909,2.4812893867492676,wpvcpapk
10081,2.4957075119018555,wpvcpapk
10272,2.4824373722076416,wpvcpapk
10502,2.484278917312622,wpvcpapk
10720,2.4754955768585205,wpvcpapk
10942,2.478144645690918,wpvcpapk
11150,2.472046375274658,wpvcpapk
11365,2.4750237464904785,wpvcpapk
11550,2.469122886657715,wpvcpapk
11805,2.476372003555298,8kc2i4i3
11833,2.4657092094421387,8kc2i4i3
11859,2.4782986640930176,8kc2i4i3
11888,2.4720687866210938,8kc2i4i3
11919,2.4722139835357666,8kc2i4i3
11950,2.469846248626709,8kc2i4i3
11981,2.4606547355651855,8kc2i4i3
12012,2.4598679542541504,8kc2i4i3
12043,2.4653892517089844,8kc2i4i3
12074,2.4534318447113037,8kc2i4i3
12105,2.477180242538452,8kc2i4i3
12136,2.4618167877197266,8kc2i4i3
12167,2.464282512664795,8kc2i4i3
12198,2.462334394454956,8kc2i4i3
12219,2.461771249771118,8kc2i4i3
12242,2.4699623584747314,8kc2i4i3
12260,2.4712584018707275,dmf6o2a4
12282,2.461414098739624,8kc2i4i3
12303,2.453195810317993,dmf6o2a4
12325,2.475107431411743,8kc2i4i3
12363,2.4546377658843994,dmf6o2a4
12437,2.458299398422241,dmf6o2a4
12495,2.4524693489074707,dmf6o2a4
12563,2.456479787826538,dmf6o2a4
12646,2.4689488410949707,dmf6o2a4
12709,2.4618542194366455,dmf6o2a4
12784,2.453634023666382,dmf6o2a4
12850,2.437645196914673,dmf6o2a4
12918,2.456088066101074,dmf6o2a4
12970,2.4489338397979736,dmf6o2a4
13049,2.454185962677002,dmf6o2a4
13122,2.450883626937866,dmf6o2a4
13171,2.451354742050171,dmf6o2a4
13242,2.4711098670959473,dmf6o2a4
13294,2.453376531600952,dmf6o2a4
13368,2.4696996212005615,dmf6o2a4
13426,2.443005084991455,dmf6o2a4
13508,2.45371413230896,dmf6o2a4
13582,2.453049659729004,dmf6o2a4
13647,2.450665235519409,dmf6o2a4
13724,2.4446473121643066,dmf6o2a4
13782,2.4471967220306396,dmf6o2a4
13854,2.438697576522827,dmf6o2a4
13930,2.4441332817077637,dmf6o2a4
14003,2.4432551860809326,dmf6o2a4
14063,2.4535131454467773,dmf6o2a4
14132,2.461338996887207,dmf6o2a4
14211,2.436527729034424,dmf6o2a4
14279,2.4447109699249268,dmf6o2a4
14347,2.45393967628479,dmf6o2a4
14410,2.4488933086395264,dmf6o2a4
14478,2.440067768096924,dmf6o2a4
14564,2.444157838821411,dmf6o2a4
14634,2.4480960369110107,dmf6o2a4
14691,2.435107946395874,dmf6o2a4
14756,2.444672107696533,dmf6o2a4
14822,2.4409310817718506,dmf6o2a4
14902,2.451401948928833,dmf6o2a4
