_step,train/CrossEntropyLoss,_segment
596059,1.809946060180664,4vhawieh
596059,1.843719482421875,iuxd2avq
596076,1.6775164604187012,4vhawieh
596076,1.6565611362457275,x5bz8z33
596088,1.6816260814666748,5icuybbp
596105,1.6245503425598145,4vhawieh
596105,1.638048768043518,x5bz8z33
596111,1.6594399213790894,5icuybbp
596112,1.6244455575942993,4vhawieh
596112,1.6330760717391968,x5bz8z33
596113,1.6388633251190186,5icuybbp
596118,1.6323992013931274,4vhawieh
596118,1.7540713548660278,iuxd2avq
596120,1.6164650917053223,4vhawieh
596120,1.7538326978683472,iuxd2avq
596131,1.6321121454238892,4vhawieh
596131,1.743251919746399,iuxd2avq
596139,1.6079286336898804,4vhawieh
596139,1.6387271881103516,x5bz8z33
596145,1.6152445077896118,5icuybbp
596153,1.6110635995864868,4vhawieh
596153,1.620995044708252,x5bz8z33
596174,1.6227309703826904,5icuybbp
596179,1.6024408340454102,4vhawieh
596179,1.6321696043014526,x5bz8z33
596187,1.6116399765014648,5icuybbp
596188,1.6131606101989746,4vhawieh
596188,1.612952470779419,x5bz8z33
596209,1.5917268991470337,5icuybbp
596217,1.5952147245407104,4vhawieh
596217,1.6053028106689453,x5bz8z33
596220,1.610551357269287,5icuybbp
596234,1.5907682180404663,4vhawieh
596234,1.5854862928390503,x5bz8z33
596239,1.5896270275115967,5icuybbp
596239,1.6076418161392212,x5bz8z33
596241,1.5969414710998535,5icuybbp
596241,1.627686619758606,x5bz8z33
596242,1.5960522890090942,5icuybbp
596242,1.5963046550750732,x5bz8z33
596246,1.5901010036468506,5icuybbp
596246,1.5730432271957397,x5bz8z33
596253,1.6116057634353638,5icuybbp
596257,1.595804214477539,4vhawieh
596257,1.7059166431427002,iuxd2avq
596281,1.571631669998169,4vhawieh
596281,1.5990830659866333,x5bz8z33
596285,1.5951677560806274,5icuybbp
596285,1.5747629404067993,x5bz8z33
596315,1.5979396104812622,5icuybbp
596319,1.5665888786315918,4vhawieh
596319,1.5806223154067993,x5bz8z33
596320,1.5696486234664917,5icuybbp
596327,1.532057523727417,4vhawieh
