_step,train/CE loss,_segment
2,1.497747540473938,0gquyaos
2,1.5552376508712769,ufsc2yts
19,1.238054633140564,0gquyaos
19,1.3223254680633545,ufsc2yts
31,1.2127323150634766,0gquyaos
31,1.1941732168197632,ufsc2yts
56,1.2674016952514648,0gquyaos
56,1.2270337343215942,ufsc2yts
61,1.2215739488601685,0gquyaos
61,1.1946030855178833,ufsc2yts
63,1.2403302192687988,0gquyaos
63,1.2093169689178467,ufsc2yts
74,1.1956628561019897,0gquyaos
74,1.2186758518218994,ufsc2yts
117,1.1868696212768555,0gquyaos
117,1.1893237829208374,ufsc2yts
130,1.209565281867981,0gquyaos
130,1.2343629598617554,ufsc2yts
182,1.2955105304718018,0gquyaos
182,1.2365845441818237,ufsc2yts
184,1.2428299188613892,0gquyaos
184,1.2528573274612427,ufsc2yts
185,1.1996984481811523,0gquyaos
185,1.1922390460968018,ufsc2yts
189,1.2986396551132202,0gquyaos
189,1.196792721748352,ufsc2yts
200,1.2291131019592285,0gquyaos
200,1.2328135967254639,ufsc2yts
224,1.2151803970336914,0gquyaos
224,1.2101963758468628,ufsc2yts
228,1.1796343326568604,0gquyaos
228,1.2212074995040894,ufsc2yts
270,1.254854679107666,0gquyaos
270,1.190635323524475,ufsc2yts
274,1.1821057796478271,0gquyaos
274,1.214905023574829,ufsc2yts
280,1.1886780261993408,0gquyaos
280,1.1590536832809448,ufsc2yts
284,1.1910337209701538,0gquyaos
284,1.2182412147521973,ufsc2yts
291,1.20691978931427,0gquyaos
291,1.2509126663208008,ufsc2yts
314,1.1980187892913818,0gquyaos
314,1.2017796039581299,ufsc2yts
322,1.1799516677856445,0gquyaos
322,1.1895407438278198,ufsc2yts
323,1.237256646156311,0gquyaos
323,1.1916592121124268,ufsc2yts
332,1.2269917726516724,0gquyaos
332,1.1947448253631592,ufsc2yts
344,1.1739603281021118,0gquyaos
344,1.2117704153060913,ufsc2yts
353,1.2318323850631714,0gquyaos
353,1.2002371549606323,ufsc2yts
361,1.2455759048461914,0gquyaos
361,1.203928828239441,ufsc2yts
371,1.1822174787521362,0gquyaos
371,1.1894110441207886,ufsc2yts
378,1.1928832530975342,0gquyaos
378,1.1938672065734863,ufsc2yts
397,1.2032506465911865,0gquyaos
397,1.1981866359710693,ufsc2yts
425,1.203240990638733,0gquyaos
425,1.1818174123764038,ufsc2yts
445,1.2199516296386719,0gquyaos
445,1.2163089513778687,ufsc2yts
446,1.2703900337219238,0gquyaos
446,1.252077341079712,ufsc2yts
469,1.2191962003707886,0gquyaos
469,1.208023190498352,ufsc2yts
480,1.2842670679092407,0gquyaos
480,1.19475257396698,ufsc2yts
519,1.2556918859481812,0gquyaos
519,1.205718994140625,ufsc2yts
524,1.1798732280731201,0gquyaos
524,1.1962076425552368,ufsc2yts
565,1.2425733804702759,0gquyaos
565,1.1724027395248413,ufsc2yts
571,1.2436423301696777,0gquyaos
571,1.1712521314620972,ufsc2yts
612,1.2078760862350464,0gquyaos
612,1.2224899530410767,ufsc2yts
614,1.1795982122421265,0gquyaos
614,1.2060010433197021,ufsc2yts
638,1.191357135772705,0gquyaos
638,1.2619596719741821,ufsc2yts
643,1.219215750694275,0gquyaos
643,1.2781143188476562,ufsc2yts
650,1.1693224906921387,0gquyaos
650,1.2196985483169556,ufsc2yts
654,1.2062273025512695,0gquyaos
654,1.2317389249801636,ufsc2yts
681,1.18145751953125,0gquyaos
681,1.213145136833191,ufsc2yts
699,1.19951593875885,0gquyaos
699,1.252936840057373,ufsc2yts
708,1.2459547519683838,0gquyaos
708,1.202085256576538,ufsc2yts
734,1.239815592765808,0gquyaos
734,1.2308011054992676,ufsc2yts
839,1.166449785232544,0gquyaos
839,1.2694119215011597,ufsc2yts
841,1.2522319555282593,0gquyaos
841,1.2117259502410889,ufsc2yts
868,1.2468338012695312,0gquyaos
868,1.180302619934082,ufsc2yts
877,1.230785608291626,0gquyaos
877,1.2397469282150269,ufsc2yts
884,1.22830331325531,0gquyaos
884,1.1901031732559204,ufsc2yts
885,1.1962378025054932,0gquyaos
885,1.2010623216629028,ufsc2yts
905,1.247456669807434,0gquyaos
905,1.2007520198822021,ufsc2yts
910,1.2048543691635132,0gquyaos
910,1.23783278465271,ufsc2yts
912,1.2292039394378662,0gquyaos
912,1.2126179933547974,ufsc2yts
928,1.2207934856414795,0gquyaos
928,1.2229337692260742,ufsc2yts
940,1.1969338655471802,0gquyaos
940,1.2255111932754517,ufsc2yts
1037,1.2074724435806274,0gquyaos
1037,1.2307683229446411,ufsc2yts
1049,1.2185834646224976,0gquyaos
1049,1.1630924940109253,ufsc2yts
1056,1.1955721378326416,0gquyaos
1056,1.2153303623199463,ufsc2yts
1068,1.183579444885254,0gquyaos
1068,1.1904124021530151,ufsc2yts
1073,1.1876553297042847,0gquyaos
1073,1.2513542175292969,ufsc2yts
1084,1.2424602508544922,0gquyaos
1084,1.1484425067901611,ufsc2yts
1101,1.1952382326126099,0gquyaos
1101,1.2558567523956299,ufsc2yts
1130,1.1958554983139038,0gquyaos
1130,1.193403720855713,ufsc2yts
1134,1.218924641609192,0gquyaos
1134,1.2294056415557861,ufsc2yts
1151,1.184163212776184,0gquyaos
