_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
0,,12.252840042114258,12.24875259399414,12.25217342376709,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
60,9.050137519836426,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
62,9.029511451721191,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
73,8.930889129638672,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
181,7.011078834533691,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
184,7.004236698150635,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
269,6.034397125244141,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
283,5.950476169586182,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
313,5.695106506347656,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
321,5.641918659210205,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
360,5.381232738494873,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
377,5.273423671722412,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
518,4.677948474884033,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
570,4.532471179962158,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
680,4.236110687255859,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
733,4.124416351318359,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
867,3.800398111343384,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
904,3.7485580444335938,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
927,3.7168221473693848,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1000,,3.900498390197754,3.8173415660858154,3.986083507537842,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1055,3.528322696685791,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1067,3.5185189247131348,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1133,3.4731791019439697,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1150,3.44305157661438,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1152,3.435476303100586,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1164,3.425318717956543,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1212,3.3745903968811035,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1412,3.232144594192505,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1453,3.2001771926879883,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1504,3.1581666469573975,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1623,3.0907294750213623,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1668,3.086744546890259,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1684,3.070208787918091,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1701,3.074558734893799,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1769,3.0240485668182373,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1843,3.009190559387207,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1859,2.9826772212982178,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1903,2.968419313430786,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
1916,2.9757957458496094,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2000,,3.2361702919006348,3.048757791519165,3.1934640407562256,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2008,2.947812080383301,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2126,2.9028289318084717,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2132,2.911219835281372,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2140,2.9060287475585938,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2183,2.881004810333252,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2215,2.890906810760498,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2266,2.8628690242767334,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2374,2.8487141132354736,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2413,2.8200490474700928,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2417,2.8324074745178223,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2445,2.8384594917297363,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2452,2.8209381103515625,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2580,2.780489444732666,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2606,2.8052008152008057,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2634,2.7806012630462646,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2724,2.7648813724517822,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2785,2.7563865184783936,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
2984,2.7391858100891113,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3000,,3.0090556144714355,2.8068954944610596,2.94747257232666,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3091,2.7180404663085938,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3092,2.703033924102783,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3122,2.706406354904175,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3180,2.6954212188720703,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3188,2.6955204010009766,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3271,2.691416025161743,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3372,2.6629273891448975,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3398,2.641566276550293,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3424,2.672374725341797,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3441,2.6627161502838135,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3447,2.6842665672302246,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3505,2.648505210876465,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3558,2.6563713550567627,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3610,2.6561222076416016,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3705,2.626539945602417,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3901,2.6267049312591553,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3906,2.625628709793091,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3912,2.6148054599761963,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3925,2.620645046234131,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
3963,2.6077675819396973,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4000,2.6145713329315186,2.9004018306732178,2.6936042308807373,2.828864336013794,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4080,2.600109815597534,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4146,2.588258981704712,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4175,2.588247299194336,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4310,2.601325511932373,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4333,2.5887811183929443,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4343,2.596743106842041,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4519,2.5710337162017822,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4603,2.560748815536499,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4648,2.5679996013641357,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4708,2.5660016536712646,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4811,2.565521478652954,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4865,2.548861265182495,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4875,2.5550897121429443,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4909,2.5382885932922363,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4926,2.5499234199523926,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
4996,2.5616815090179443,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5000,,2.837230920791626,2.627054452896118,2.7604787349700928,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5036,2.519430160522461,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5168,2.555436611175537,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5192,2.553826332092285,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5387,2.536600112915039,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5546,2.5266220569610596,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5555,2.5205063819885254,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5588,2.5266852378845215,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5605,2.5239388942718506,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5644,2.5236217975616455,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5866,2.5378589630126953,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5934,2.529711961746216,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5936,2.5006394386291504,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5962,2.502094268798828,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5978,2.5276455879211426,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
5984,2.505298614501953,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6000,,2.8023734092712402,2.5903007984161377,2.7206332683563232,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6011,2.5155129432678223,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6032,2.516047716140747,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6091,2.560511589050293,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6108,2.5355067253112793,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6115,2.5337226390838623,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6207,2.5033130645751953,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6367,2.518038511276245,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6513,2.5486056804656982,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6515,2.5673298835754395,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6582,2.5241148471832275,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6711,2.496854066848755,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6742,2.5001888275146484,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6806,2.5099518299102783,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
6814,2.4962151050567627,,,,adamh-scaling-ladder-nemotron-optimal-1e+23-v5-27f2fb
