_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
0,,12.250886917114258,12.248963356018066,12.253935813903809,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
1,12.245969772338867,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
60,8.998679161071777,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
62,8.943999290466309,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
73,8.69726276397705,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
181,6.559773921966553,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
184,6.536850929260254,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
188,6.492620944976807,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
199,6.320273399353027,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
227,6.024702548980713,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
269,5.641241550445557,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
283,5.541555881500244,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
290,5.4549241065979,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
313,5.334445953369141,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
321,5.268764495849609,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
322,5.232555389404297,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
343,5.128352165222168,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
360,5.057785987854004,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
370,4.981365203857422,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
377,4.946308612823486,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
444,4.688949108123779,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
445,4.672077655792236,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
468,4.613409519195557,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
518,4.470641136169434,,,,adamh-scaling-ladder-nemotron-optimal-1e+22-v5-025b0e
