_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
0,,12.259212493896484,12.238494873046875,12.239486694335938,llama-32b-tootsie-2
60,8.933935165405273,,,,llama-32b-tootsie-2
62,8.90160083770752,,,,llama-32b-tootsie-2
73,8.75850772857666,,,,llama-32b-tootsie-2
181,7.633635997772217,,,,llama-32b-tootsie-2
184,7.631653308868408,,,,llama-32b-tootsie-2
269,6.916399955749512,,,,llama-32b-tootsie-2
283,6.827770709991455,,,,llama-32b-tootsie-2
313,6.556830406188965,,,,llama-32b-tootsie-2
321,6.559898853302002,,,,llama-32b-tootsie-2
360,6.284438133239746,,,,llama-32b-tootsie-2
377,6.167422294616699,,,,llama-32b-tootsie-2
518,5.48757266998291,,,,llama-32b-tootsie-2
570,5.291910171508789,,,,llama-32b-tootsie-2
680,5.053044319152832,,,,llama-32b-tootsie-2
733,4.782963275909424,,,,llama-32b-tootsie-2
867,4.278238773345947,,,,llama-32b-tootsie-2
904,4.154253959655762,,,,llama-32b-tootsie-2
927,4.076516151428223,,,,llama-32b-tootsie-2
1000,,4.092749118804932,3.9914684295654297,4.243973731994629,llama-32b-tootsie-2
1055,3.7182908058166504,,,,llama-32b-tootsie-2
1067,3.6884937286376953,,,,llama-32b-tootsie-2
1133,3.580490827560425,,,,llama-32b-tootsie-2
1152,3.550314426422119,,,,llama-32b-tootsie-2
1164,3.5311195850372314,,,,llama-32b-tootsie-2
1212,3.4585111141204834,,,,llama-32b-tootsie-2
1412,3.2668044567108154,,,,llama-32b-tootsie-2
1453,3.228175401687622,,,,llama-32b-tootsie-2
1504,3.1540780067443848,,,,llama-32b-tootsie-2
1623,3.0836429595947266,,,,llama-32b-tootsie-2
1668,3.0584399700164795,,,,llama-32b-tootsie-2
1684,3.0504798889160156,,,,llama-32b-tootsie-2
1701,3.0195019245147705,,,,llama-32b-tootsie-2
1769,2.997537612915039,,,,llama-32b-tootsie-2
1843,2.9483771324157715,,,,llama-32b-tootsie-2
1859,2.9433701038360596,,,,llama-32b-tootsie-2
1903,2.9239814281463623,,,,llama-32b-tootsie-2
1916,2.9297287464141846,,,,llama-32b-tootsie-2
2000,,3.1557154655456543,2.9612319469451904,3.2119317054748535,llama-32b-tootsie-2
2008,2.8666887283325195,,,,llama-32b-tootsie-2
2126,2.8139395713806152,,,,llama-32b-tootsie-2
2132,2.8160834312438965,,,,llama-32b-tootsie-2
2140,2.812356948852539,,,,llama-32b-tootsie-2
2183,2.7964069843292236,,,,llama-32b-tootsie-2
2215,2.78226900100708,,,,llama-32b-tootsie-2
2266,2.77834153175354,,,,llama-32b-tootsie-2
2413,2.9268369674682617,,,,llama-32b-tootsie-2
2417,2.8703088760375977,,,,llama-32b-tootsie-2
2445,2.7267487049102783,,,,llama-32b-tootsie-2
2452,2.7311198711395264,,,,llama-32b-tootsie-2
2580,2.696990728378296,,,,llama-32b-tootsie-2
2606,2.6932332515716553,,,,llama-32b-tootsie-2
2634,2.679227828979492,,,,llama-32b-tootsie-2
2724,2.656548023223877,,,,llama-32b-tootsie-2
2785,2.63494873046875,,,,llama-32b-tootsie-2
3000,,2.886075496673584,2.6855132579803467,2.9384841918945312,llama-32b-tootsie-2
3091,2.5698938369750977,,,,llama-32b-tootsie-2
3092,2.5685040950775146,,,,llama-32b-tootsie-2
3122,2.5732955932617188,,,,llama-32b-tootsie-2
3180,2.5479135513305664,,,,llama-32b-tootsie-2
3188,2.549654722213745,,,,llama-32b-tootsie-2
3271,2.538126230239868,,,,llama-32b-tootsie-2
3372,2.5346555709838867,,,,llama-32b-tootsie-2
3398,2.5163733959198,,,,llama-32b-tootsie-2
3424,2.5181257724761963,,,,llama-32b-tootsie-2
3441,2.5097460746765137,,,,llama-32b-tootsie-2
3505,2.5025155544281006,,,,llama-32b-tootsie-2
3558,2.4955430030822754,,,,llama-32b-tootsie-2
3610,2.4968032836914062,,,,llama-32b-tootsie-2
3705,2.4835243225097656,,,,llama-32b-tootsie-2
3901,2.4771645069122314,,,,llama-32b-tootsie-2
3906,2.4669506549835205,,,,llama-32b-tootsie-2
3912,2.457151412963867,,,,llama-32b-tootsie-2
3925,2.4643163681030273,,,,llama-32b-tootsie-2
3963,2.4530844688415527,,,,llama-32b-tootsie-2
4000,2.459266185760498,2.752052068710327,2.5510363578796387,2.7940573692321777,llama-32b-tootsie-2
4080,2.4420011043548584,,,,llama-32b-tootsie-2
