_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
77098,1.9665284156799316,,,,marin-32b-muon-4
77101,1.9728786945343018,,,,marin-32b-muon-4
77107,1.9662859439849854,,,,marin-32b-muon-4
77111,1.9599900245666504,,,,marin-32b-muon-4
77115,1.961078405380249,,,,marin-32b-muon-4
77124,1.9594612121582031,,,,marin-32b-muon-4
77127,1.9547438621520996,,,,marin-32b-muon-4
77129,1.962178111076355,,,,marin-32b-muon-4
77130,1.9532614946365356,,,,marin-32b-muon-4
77141,1.964024305343628,,,,marin-32b-muon-4
77144,1.9554624557495117,,,,marin-32b-muon-4
77147,1.9525306224822998,,,,marin-32b-muon-4
77150,1.9607089757919312,,,,marin-32b-muon-4
77151,1.9605385065078735,,,,marin-32b-muon-4
77152,1.9496427774429321,,,,marin-32b-muon-4
77157,1.9535239934921265,,,,marin-32b-muon-4
77159,1.9532057046890259,,,,marin-32b-muon-4
77161,1.9546558856964111,,,,marin-32b-muon-4
77162,1.965175986289978,,,,marin-32b-muon-4
77170,1.9517176151275635,,,,marin-32b-muon-4
77174,1.952627182006836,,,,marin-32b-muon-4
77178,1.9513672590255737,,,,marin-32b-muon-4
77184,1.954763412475586,,,,marin-32b-muon-4
77188,1.9539679288864136,,,,marin-32b-muon-4
77192,1.9523791074752808,,,,marin-32b-muon-4
77213,1.9496290683746338,,,,marin-32b-muon-4
77218,1.9491389989852905,,,,marin-32b-muon-4
77226,1.949657678604126,,,,marin-32b-muon-4
77227,1.9555363655090332,,,,marin-32b-muon-4
77248,1.953274130821228,,,,marin-32b-muon-4
77256,1.9520615339279175,,,,marin-32b-muon-4
77259,1.9485554695129395,,,,marin-32b-muon-4
77273,1.9502005577087402,,,,marin-32b-muon-4
77278,1.9544122219085693,,,,marin-32b-muon-4
77280,1.9474029541015625,,,,marin-32b-muon-4
77281,1.9432519674301147,,,,marin-32b-muon-4
77285,1.9451228380203247,,,,marin-32b-muon-4
77292,1.943268895149231,,,,marin-32b-muon-4
