_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
80061,2.048661708831787,,,,marin-32b-qwen
80063,2.0463857650756836,,,,marin-32b-qwen
80074,2.0294277667999268,,,,marin-32b-qwen
80182,1.9799840450286865,,,,marin-32b-qwen
80185,1.9784088134765625,,,,marin-32b-qwen
80270,1.972985029220581,,,,marin-32b-qwen
80284,1.961077332496643,,,,marin-32b-qwen
80314,1.973895788192749,,,,marin-32b-qwen
80322,1.9623594284057617,,,,marin-32b-qwen
80361,1.964063286781311,,,,marin-32b-qwen
80378,1.9617096185684204,,,,marin-32b-qwen
80519,1.9523491859436035,,,,marin-32b-qwen
80571,1.9565150737762451,,,,marin-32b-qwen
80681,1.955880880355835,,,,marin-32b-qwen
80734,1.960927128791809,,,,marin-32b-qwen
80868,1.9593517780303955,,,,marin-32b-qwen
80905,1.959658145904541,,,,marin-32b-qwen
80928,1.9607199430465698,,,,marin-32b-qwen
81000,,2.2860586643218994,2.0849123001098633,2.316694498062134,marin-32b-qwen
81056,1.9630110263824463,,,,marin-32b-qwen
81068,1.9623161554336548,,,,marin-32b-qwen
81134,1.969835638999939,,,,marin-32b-qwen
81153,1.9665788412094116,,,,marin-32b-qwen
81165,1.9715226888656616,,,,marin-32b-qwen
81213,1.9695401191711426,,,,marin-32b-qwen
81413,1.9697113037109375,,,,marin-32b-qwen
81454,1.970884084701538,,,,marin-32b-qwen
81505,1.9623500108718872,,,,marin-32b-qwen
81624,1.974330186843872,,,,marin-32b-qwen
81669,1.9661319255828857,,,,marin-32b-qwen
81685,1.9689518213272095,,,,marin-32b-qwen
81702,1.979036569595337,,,,marin-32b-qwen
81770,1.9710617065429688,,,,marin-32b-qwen
81844,1.964948058128357,,,,marin-32b-qwen
81860,1.9667397737503052,,,,marin-32b-qwen
81904,1.9654788970947266,,,,marin-32b-qwen
81917,1.968289852142334,,,,marin-32b-qwen
82000,,2.2891359329223633,2.0863583087921143,2.318966865539551,marin-32b-qwen
82009,1.9702693223953247,,,,marin-32b-qwen
82127,1.982365608215332,,,,marin-32b-qwen
82133,1.9765574932098389,,,,marin-32b-qwen
82141,1.9791030883789062,,,,marin-32b-qwen
82184,1.9762206077575684,,,,marin-32b-qwen
82216,1.9792613983154297,,,,marin-32b-qwen
82267,1.9733805656433105,,,,marin-32b-qwen
82414,1.9710009098052979,,,,marin-32b-qwen
82418,1.9699007272720337,,,,marin-32b-qwen
82446,1.9715254306793213,,,,marin-32b-qwen
82453,1.974348783493042,,,,marin-32b-qwen
82607,1.9709246158599854,,,,marin-32b-qwen
82635,1.977262258529663,,,,marin-32b-qwen
82725,1.9714657068252563,,,,marin-32b-qwen
82786,1.9706686735153198,,,,marin-32b-qwen
83000,,2.289738893508911,2.0858404636383057,2.3174736499786377,marin-32b-qwen
83092,1.9616683721542358,,,,marin-32b-qwen
83093,1.9712934494018555,,,,marin-32b-qwen
83123,1.9644509553909302,,,,marin-32b-qwen
83181,1.9619568586349487,,,,marin-32b-qwen
83189,1.9628885984420776,,,,marin-32b-qwen
83373,1.9674122333526611,,,,marin-32b-qwen
83399,1.9704036712646484,,,,marin-32b-qwen
83425,1.9762258529663086,,,,marin-32b-qwen
83442,1.9688183069229126,,,,marin-32b-qwen
83506,1.9700329303741455,,,,marin-32b-qwen
83559,1.9585676193237305,,,,marin-32b-qwen
83611,1.9687159061431885,,,,marin-32b-qwen
83706,1.965203881263733,,,,marin-32b-qwen
83902,1.9655508995056152,,,,marin-32b-qwen
83907,1.9612500667572021,,,,marin-32b-qwen
83964,1.9667938947677612,,,,marin-32b-qwen
84000,,2.288806200027466,2.084872245788574,2.31669020652771,marin-32b-qwen
84081,1.9692983627319336,,,,marin-32b-qwen
84147,1.9729695320129395,,,,marin-32b-qwen
84176,1.9647421836853027,,,,marin-32b-qwen
84311,1.9632151126861572,,,,marin-32b-qwen
84344,1.9731757640838623,,,,marin-32b-qwen
84520,1.9666823148727417,,,,marin-32b-qwen
84604,1.964175820350647,,,,marin-32b-qwen
84649,1.9739314317703247,,,,marin-32b-qwen
84709,1.9662137031555176,,,,marin-32b-qwen
84812,1.969678521156311,,,,marin-32b-qwen
84866,1.9640105962753296,,,,marin-32b-qwen
84876,1.968013882637024,,,,marin-32b-qwen
84910,1.9681094884872437,,,,marin-32b-qwen
84927,1.9645464420318604,,,,marin-32b-qwen
84997,1.9639275074005127,,,,marin-32b-qwen
85000,,2.2856476306915283,2.083299160003662,2.3164546489715576,marin-32b-qwen
85037,1.961694359779358,,,,marin-32b-qwen
85169,1.9603058099746704,,,,marin-32b-qwen
85193,1.9586529731750488,,,,marin-32b-qwen
85388,1.9641876220703125,,,,marin-32b-qwen
85547,1.9597711563110352,,,,marin-32b-qwen
85556,1.9655776023864746,,,,marin-32b-qwen
85589,1.963645577430725,,,,marin-32b-qwen
85645,1.9657925367355347,,,,marin-32b-qwen
85867,1.9637254476547241,,,,marin-32b-qwen
85935,1.9701902866363525,,,,marin-32b-qwen
85937,1.9652392864227295,,,,marin-32b-qwen
85963,1.9621639251708984,,,,marin-32b-qwen
85979,1.9671101570129395,,,,marin-32b-qwen
85985,1.9627366065979004,,,,marin-32b-qwen
86000,,2.285365104675293,2.082310676574707,2.315560817718506,marin-32b-qwen
86033,1.9649406671524048,,,,marin-32b-qwen
86092,1.9617843627929688,,,,marin-32b-qwen
86109,1.9602694511413574,,,,marin-32b-qwen
86116,1.9674255847930908,,,,marin-32b-qwen
86208,1.9595508575439453,,,,marin-32b-qwen
86368,1.9647706747055054,,,,marin-32b-qwen
86516,1.9675575494766235,,,,marin-32b-qwen
86712,1.9645767211914062,,,,marin-32b-qwen
86743,1.969184398651123,,,,marin-32b-qwen
86807,1.9736114740371704,,,,marin-32b-qwen
86815,1.9641830921173096,,,,marin-32b-qwen
86994,1.9602155685424805,,,,marin-32b-qwen
87000,,2.285863161087036,2.0834012031555176,2.316788673400879,marin-32b-qwen
87071,1.9676958322525024,,,,marin-32b-qwen
87141,1.9631717205047607,,,,marin-32b-qwen
87223,1.9582819938659668,,,,marin-32b-qwen
87305,1.9661924839019775,,,,marin-32b-qwen
87375,1.9584951400756836,,,,marin-32b-qwen
87446,1.9597194194793701,,,,marin-32b-qwen
87526,1.9613590240478516,,,,marin-32b-qwen
87558,1.9623160362243652,,,,marin-32b-qwen
87630,1.9623463153839111,,,,marin-32b-qwen
87664,1.9682559967041016,,,,marin-32b-qwen
87731,1.9549599885940552,,,,marin-32b-qwen
87746,1.9584295749664307,,,,marin-32b-qwen
87821,1.9595918655395508,,,,marin-32b-qwen
87841,1.9570192098617554,,,,marin-32b-qwen
87924,1.9667798280715942,,,,marin-32b-qwen
87932,1.9581867456436157,,,,marin-32b-qwen
88000,,2.283524513244629,2.081556797027588,2.3139567375183105,marin-32b-qwen
88169,1.961594820022583,,,,marin-32b-qwen
88290,1.9574642181396484,,,,marin-32b-qwen
88306,1.9610620737075806,,,,marin-32b-qwen
88378,1.9606692790985107,,,,marin-32b-qwen
88408,1.9688915014266968,,,,marin-32b-qwen
88446,1.963753581047058,,,,marin-32b-qwen
88521,1.9610177278518677,,,,marin-32b-qwen
88556,1.9599515199661255,,,,marin-32b-qwen
88567,1.963931679725647,,,,marin-32b-qwen
88579,1.9608224630355835,,,,marin-32b-qwen
88757,1.972951054573059,,,,marin-32b-qwen
88782,1.9604653120040894,,,,marin-32b-qwen
88799,1.957404375076294,,,,marin-32b-qwen
88805,1.9590762853622437,,,,marin-32b-qwen
88806,1.9506794214248657,,,,marin-32b-qwen
88926,1.95716392993927,,,,marin-32b-qwen
88935,1.962566614151001,,,,marin-32b-qwen
88977,1.957606554031372,,,,marin-32b-qwen
88981,1.9589961767196655,,,,marin-32b-qwen
89000,,2.2831273078918457,2.0805578231811523,2.3135828971862793,marin-32b-qwen
89045,1.9579964876174927,,,,marin-32b-qwen
89051,1.9623377323150635,,,,marin-32b-qwen
89089,1.9587794542312622,,,,marin-32b-qwen
89103,1.9625658988952637,,,,marin-32b-qwen
89331,1.9636517763137817,,,,marin-32b-qwen
89543,1.959242820739746,,,,marin-32b-qwen
89675,1.9577528238296509,,,,marin-32b-qwen
89741,1.9652177095413208,,,,marin-32b-qwen
89842,1.9637778997421265,,,,marin-32b-qwen
89843,1.9582526683807373,,,,marin-32b-qwen
89879,1.964803695678711,,,,marin-32b-qwen
89899,1.9613821506500244,,,,marin-32b-qwen
89942,1.9644598960876465,,,,marin-32b-qwen
90073,1.9568201303482056,,,,marin-32b-qwen
90284,1.9681912660598755,,,,marin-32b-qwen
90298,1.9615596532821655,,,,marin-32b-qwen
90305,1.9597615003585815,,,,marin-32b-qwen
90306,1.9633169174194336,,,,marin-32b-qwen
90342,1.9558088779449463,,,,marin-32b-qwen
90364,1.9608312845230103,,,,marin-32b-qwen
90397,1.9603464603424072,,,,marin-32b-qwen
90451,1.9624285697937012,,,,marin-32b-qwen
90669,1.9589241743087769,,,,marin-32b-qwen
90815,1.961382508277893,,,,marin-32b-qwen
90819,1.960249423980713,,,,marin-32b-qwen
90835,1.9647715091705322,,,,marin-32b-qwen
90872,1.9634487628936768,,,,marin-32b-qwen
90887,1.9622752666473389,,,,marin-32b-qwen
90897,1.9593455791473389,,,,marin-32b-qwen
90943,1.9606959819793701,,,,marin-32b-qwen
91000,,2.2836430072784424,2.0819642543792725,2.3146910667419434,marin-32b-qwen
91079,1.9550398588180542,,,,marin-32b-qwen
91182,1.966826319694519,,,,marin-32b-qwen
91246,1.9555524587631226,,,,marin-32b-qwen
91268,1.9611586332321167,,,,marin-32b-qwen
91309,1.9550864696502686,,,,marin-32b-qwen
91323,1.9539202451705933,,,,marin-32b-qwen
91349,1.9617782831192017,,,,marin-32b-qwen
91370,1.9618383646011353,,,,marin-32b-qwen
91403,1.959374189376831,,,,marin-32b-qwen
91432,1.9624395370483398,,,,marin-32b-qwen
91466,1.963914394378662,,,,marin-32b-qwen
91471,1.9607352018356323,,,,marin-32b-qwen
91477,1.9539821147918701,,,,marin-32b-qwen
91491,1.9535152912139893,,,,marin-32b-qwen
91525,1.9642152786254883,,,,marin-32b-qwen
91614,1.9617184400558472,,,,marin-32b-qwen
91666,1.9600481986999512,,,,marin-32b-qwen
91686,1.9531742334365845,,,,marin-32b-qwen
91705,1.9600276947021484,,,,marin-32b-qwen
91718,1.9634761810302734,,,,marin-32b-qwen
91794,1.9626613855361938,,,,marin-32b-qwen
91804,1.96156907081604,,,,marin-32b-qwen
92000,,2.2819018363952637,2.0802266597747803,2.3135547637939453,marin-32b-qwen
92009,1.9576468467712402,,,,marin-32b-qwen
92130,1.9569202661514282,,,,marin-32b-qwen
92253,1.9640142917633057,,,,marin-32b-qwen
92278,1.9582945108413696,,,,marin-32b-qwen
92293,1.9565356969833374,,,,marin-32b-qwen
92459,1.9617748260498047,,,,marin-32b-qwen
92479,1.963814377784729,,,,marin-32b-qwen
92542,1.958927035331726,,,,marin-32b-qwen
92660,1.9620698690414429,,,,marin-32b-qwen
92685,1.9550917148590088,,,,marin-32b-qwen
92829,1.9604283571243286,,,,marin-32b-qwen
92838,1.957384705543518,,,,marin-32b-qwen
92878,1.959417462348938,,,,marin-32b-qwen
92895,1.9627891778945923,,,,marin-32b-qwen
92986,1.9609872102737427,,,,marin-32b-qwen
92992,1.9592021703720093,,,,marin-32b-qwen
93000,,2.282151222229004,2.079664945602417,2.31203031539917,marin-32b-qwen
93001,1.9523004293441772,,,,marin-32b-qwen
93023,1.9568729400634766,,,,marin-32b-qwen
93043,1.9564635753631592,,,,marin-32b-qwen
93101,1.962825894355774,,,,marin-32b-qwen
93233,1.9579253196716309,,,,marin-32b-qwen
93245,1.9593899250030518,,,,marin-32b-qwen
93468,1.962814211845398,,,,marin-32b-qwen
93637,1.9560152292251587,,,,marin-32b-qwen
93699,1.9532898664474487,,,,marin-32b-qwen
93792,1.959646463394165,,,,marin-32b-qwen
93842,1.9566779136657715,,,,marin-32b-qwen
93886,1.961336612701416,,,,marin-32b-qwen
93959,1.9623539447784424,,,,marin-32b-qwen
94000,,2.282151222229004,2.0805623531341553,2.3148114681243896,marin-32b-qwen
94009,1.9566833972930908,,,,marin-32b-qwen
94015,1.958133339881897,,,,marin-32b-qwen
94045,1.9563462734222412,,,,marin-32b-qwen
94049,1.9525152444839478,,,,marin-32b-qwen
94090,1.9538987874984741,,,,marin-32b-qwen
94106,1.957364559173584,,,,marin-32b-qwen
94132,1.9554414749145508,,,,marin-32b-qwen
94156,1.960328459739685,,,,marin-32b-qwen
94181,1.961063265800476,,,,marin-32b-qwen
94198,1.9612689018249512,,,,marin-32b-qwen
94252,1.9602007865905762,,,,marin-32b-qwen
94261,1.9581975936889648,,,,marin-32b-qwen
94269,1.9517145156860352,,,,marin-32b-qwen
94418,1.9593034982681274,,,,marin-32b-qwen
94432,1.9596681594848633,,,,marin-32b-qwen
94521,1.95806086063385,,,,marin-32b-qwen
94684,1.9581526517868042,,,,marin-32b-qwen
94715,1.9601086378097534,,,,marin-32b-qwen
94784,1.9601556062698364,,,,marin-32b-qwen
94853,1.951289415359497,,,,marin-32b-qwen
94929,1.9573860168457031,,,,marin-32b-qwen
94956,1.9534385204315186,,,,marin-32b-qwen
95000,,2.2837677001953125,2.080829381942749,2.312316417694092,marin-32b-qwen
95020,1.960398554801941,,,,marin-32b-qwen
95306,1.9560530185699463,,,,marin-32b-qwen
95325,1.9596139192581177,,,,marin-32b-qwen
95389,1.9544475078582764,,,,marin-32b-qwen
95447,1.9571651220321655,,,,marin-32b-qwen
95471,1.9646310806274414,,,,marin-32b-qwen
95532,1.9536442756652832,,,,marin-32b-qwen
95571,1.9569616317749023,,,,marin-32b-qwen
95639,1.9511247873306274,,,,marin-32b-qwen
95697,1.9544602632522583,,,,marin-32b-qwen
95778,1.9566786289215088,,,,marin-32b-qwen
95826,1.9483970403671265,,,,marin-32b-qwen
95831,1.9526416063308716,,,,marin-32b-qwen
95854,1.952406883239746,,,,marin-32b-qwen
95909,1.9612183570861816,,,,marin-32b-qwen
95930,1.9522199630737305,,,,marin-32b-qwen
96000,,2.2807793617248535,2.0786399841308594,2.3102047443389893,marin-32b-qwen
96152,1.9499456882476807,,,,marin-32b-qwen
96213,1.9594016075134277,,,,marin-32b-qwen
