_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
819926,1.7543396949768066,,,,llama-8b-tootsie-dessert
819943,1.7373629808425903,,,,llama-8b-tootsie-dessert
819955,1.739322304725647,,,,llama-8b-tootsie-dessert
819980,1.745430827140808,,,,llama-8b-tootsie-dessert
819985,1.7442495822906494,,,,llama-8b-tootsie-dessert
819987,1.7482794523239136,,,,llama-8b-tootsie-dessert
819998,1.7362465858459473,,,,llama-8b-tootsie-dessert
819999,,2.6049182415008545,2.181218147277832,2.5344929695129395,llama-8b-tootsie-dessert
820000,,2.5979743003845215,2.171288251876831,2.5075607299804688,llama-8b-tootsie-dessert
820012,1.808272123336792,,,,llama-8b-tootsie-dessert
820041,1.7701970338821411,,,,llama-8b-tootsie-dessert
820054,1.773608922958374,,,,llama-8b-tootsie-dessert
820076,1.7745510339736938,,,,llama-8b-tootsie-dessert
820084,1.766275405883789,,,,llama-8b-tootsie-dessert
820101,1.770464301109314,,,,llama-8b-tootsie-dessert
820106,1.7446072101593018,,,,llama-8b-tootsie-dessert
820108,1.7508314847946167,,,,llama-8b-tootsie-dessert
820109,1.7544232606887817,,,,llama-8b-tootsie-dessert
820113,1.747514009475708,,,,llama-8b-tootsie-dessert
820124,1.7452484369277954,,,,llama-8b-tootsie-dessert
820148,1.7526134252548218,,,,llama-8b-tootsie-dessert
820152,1.7474651336669922,,,,llama-8b-tootsie-dessert
820194,1.7337769269943237,,,,llama-8b-tootsie-dessert
820198,1.7396981716156006,,,,llama-8b-tootsie-dessert
820204,1.7323431968688965,,,,llama-8b-tootsie-dessert
820206,1.7294260263442993,,,,llama-8b-tootsie-dessert
820208,1.7430819272994995,,,,llama-8b-tootsie-dessert
820215,1.7380905151367188,,,,llama-8b-tootsie-dessert
820219,1.7194081544876099,,,,llama-8b-tootsie-dessert
820227,1.729397177696228,,,,llama-8b-tootsie-dessert
820238,1.7211382389068604,,,,llama-8b-tootsie-dessert
820241,1.7374515533447266,,,,llama-8b-tootsie-dessert
820246,1.7360926866531372,,,,llama-8b-tootsie-dessert
820247,1.7391469478607178,,,,llama-8b-tootsie-dessert
820255,1.7252272367477417,,,,llama-8b-tootsie-dessert
820256,1.7334668636322021,,,,llama-8b-tootsie-dessert
820268,1.7247174978256226,,,,llama-8b-tootsie-dessert
820277,1.724135160446167,,,,llama-8b-tootsie-dessert
820285,1.7377015352249146,,,,llama-8b-tootsie-dessert
820295,1.730894684791565,,,,llama-8b-tootsie-dessert
820302,1.723855972290039,,,,llama-8b-tootsie-dessert
820321,1.7063064575195312,,,,llama-8b-tootsie-dessert
820349,1.7217862606048584,,,,llama-8b-tootsie-dessert
820354,1.7309560775756836,,,,llama-8b-tootsie-dessert
820369,1.7165471315383911,,,,llama-8b-tootsie-dessert
820370,1.7164438962936401,,,,llama-8b-tootsie-dessert
820393,1.7262192964553833,,,,llama-8b-tootsie-dessert
820404,1.7149091958999634,,,,llama-8b-tootsie-dessert
820417,1.7058714628219604,,,,llama-8b-tootsie-dessert
820426,1.7211710214614868,,,,llama-8b-tootsie-dessert
820443,1.685924768447876,,,,llama-8b-tootsie-dessert
820448,1.7105107307434082,,,,llama-8b-tootsie-dessert
820489,1.7039721012115479,,,,llama-8b-tootsie-dessert
820495,1.710602879524231,,,,llama-8b-tootsie-dessert
820536,1.7069116830825806,,,,llama-8b-tootsie-dessert
820538,1.713146448135376,,,,llama-8b-tootsie-dessert
820547,1.703981637954712,,,,llama-8b-tootsie-dessert
820562,1.7012985944747925,,,,llama-8b-tootsie-dessert
820567,1.6941964626312256,,,,llama-8b-tootsie-dessert
820574,1.7041126489639282,,,,llama-8b-tootsie-dessert
820578,1.6942418813705444,,,,llama-8b-tootsie-dessert
820605,1.7143830060958862,,,,llama-8b-tootsie-dessert
820617,1.7080614566802979,,,,llama-8b-tootsie-dessert
820623,1.7103885412216187,,,,llama-8b-tootsie-dessert
820632,1.7143521308898926,,,,llama-8b-tootsie-dessert
820654,1.7124183177947998,,,,llama-8b-tootsie-dessert
820658,1.7034862041473389,,,,llama-8b-tootsie-dessert
820676,1.6956206560134888,,,,llama-8b-tootsie-dessert
820681,1.7115821838378906,,,,llama-8b-tootsie-dessert
820693,1.7060929536819458,,,,llama-8b-tootsie-dessert
820715,1.7079933881759644,,,,llama-8b-tootsie-dessert
820727,1.706952452659607,,,,llama-8b-tootsie-dessert
820761,1.7082144021987915,,,,llama-8b-tootsie-dessert
820763,1.7164794206619263,,,,llama-8b-tootsie-dessert
820765,1.7015103101730347,,,,llama-8b-tootsie-dessert
820771,1.708296775817871,,,,llama-8b-tootsie-dessert
820792,1.7100656032562256,,,,llama-8b-tootsie-dessert
820801,1.7065171003341675,,,,llama-8b-tootsie-dessert
820808,1.689191222190857,,,,llama-8b-tootsie-dessert
820809,1.7029173374176025,,,,llama-8b-tootsie-dessert
820829,1.7019217014312744,,,,llama-8b-tootsie-dessert
820834,1.6995927095413208,,,,llama-8b-tootsie-dessert
820836,1.7017749547958374,,,,llama-8b-tootsie-dessert
820844,1.7015306949615479,,,,llama-8b-tootsie-dessert
820846,1.7101695537567139,,,,llama-8b-tootsie-dessert
820849,1.7003237009048462,,,,llama-8b-tootsie-dessert
820852,1.6933332681655884,,,,llama-8b-tootsie-dessert
820864,1.6900314092636108,,,,llama-8b-tootsie-dessert
820896,1.6942912340164185,,,,llama-8b-tootsie-dessert
820925,1.701861023902893,,,,llama-8b-tootsie-dessert
820958,1.7079803943634033,,,,llama-8b-tootsie-dessert
