_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
0,,12.24577808380127,12.239253997802734,11.474588394165039,llama-8b-tootsie-0.001-19ad63
518,3.826151132583618,,,,llama-8b-tootsie-0.001-19ad63
1668,3.0527474880218506,,,,llama-8b-tootsie-0.001-19ad63
1916,2.925506591796875,,,,llama-8b-tootsie-0.001-19ad63
2606,2.826794385910034,,,,llama-8b-tootsie-0.001-19ad63
2785,2.8104422092437744,,,,llama-8b-tootsie-0.001-19ad63
3092,2.788435935974121,,,,llama-8b-tootsie-0.001-19ad63
3441,2.73896861076355,,,,llama-8b-tootsie-0.001-19ad63
3558,2.741844654083252,,,,llama-8b-tootsie-0.001-19ad63
4146,2.69765305519104,,,,llama-8b-tootsie-0.001-19ad63
4708,2.598127841949463,,,,llama-8b-tootsie-0.001-19ad63
4811,2.602421760559082,,,,llama-8b-tootsie-0.001-19ad63
4875,2.587686538696289,,,,llama-8b-tootsie-0.001-19ad63
5000,,2.861771821975708,2.512953758239746,2.644036293029785,llama-8b-tootsie-0.001-19ad63
5036,2.647584915161133,,,,llama-8b-tootsie-0.001-19ad63
5192,2.639284372329712,,,,llama-8b-tootsie-0.001-19ad63
6115,2.6328656673431396,,,,llama-8b-tootsie-0.001-19ad63
7222,2.587918519973755,,,,llama-8b-tootsie-0.001-19ad63
7374,2.5697989463806152,,,,llama-8b-tootsie-0.001-19ad63
7445,2.6146202087402344,,,,llama-8b-tootsie-0.001-19ad63
7629,2.578552722930908,,,,llama-8b-tootsie-0.001-19ad63
7820,2.5504417419433594,,,,llama-8b-tootsie-0.001-19ad63
8168,2.5616111755371094,,,,llama-8b-tootsie-0.001-19ad63
8407,2.5630691051483154,,,,llama-8b-tootsie-0.001-19ad63
8578,2.55794620513916,,,,llama-8b-tootsie-0.001-19ad63
8756,2.534778118133545,,,,llama-8b-tootsie-0.001-19ad63
8798,2.55655837059021,,,,llama-8b-tootsie-0.001-19ad63
8804,2.557551383972168,,,,llama-8b-tootsie-0.001-19ad63
9898,2.5174317359924316,,,,llama-8b-tootsie-0.001-19ad63
10000,,2.7579128742218018,2.4064557552337646,2.540090322494507,llama-8b-tootsie-0.001-19ad63
10449,2.5123822689056396,,,,llama-8b-tootsie-0.001-19ad63
11180,2.5308542251586914,,,,llama-8b-tootsie-0.001-19ad63
11321,2.5337769985198975,,,,llama-8b-tootsie-0.001-19ad63
11368,2.530688762664795,,,,llama-8b-tootsie-0.001-19ad63
12291,2.516571521759033,,,,llama-8b-tootsie-0.001-19ad63
