_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
660061,2.2605783939361572,,,,llama-8b-tootsie-phase2
660063,2.2817091941833496,,,,llama-8b-tootsie-phase2
660074,2.2747721672058105,,,,llama-8b-tootsie-phase2
660182,2.295283794403076,,,,llama-8b-tootsie-phase2
660185,2.273678779602051,,,,llama-8b-tootsie-phase2
660270,2.28558611869812,,,,llama-8b-tootsie-phase2
660284,2.2827088832855225,,,,llama-8b-tootsie-phase2
660314,2.279130458831787,,,,llama-8b-tootsie-phase2
660322,2.2844290733337402,,,,llama-8b-tootsie-phase2
660361,2.279979705810547,,,,llama-8b-tootsie-phase2
660378,2.2794690132141113,,,,llama-8b-tootsie-phase2
660519,2.2976367473602295,,,,llama-8b-tootsie-phase2
660571,2.2824342250823975,,,,llama-8b-tootsie-phase2
660681,2.275895833969116,,,,llama-8b-tootsie-phase2
660734,2.28751802444458,,,,llama-8b-tootsie-phase2
660868,2.2771522998809814,,,,llama-8b-tootsie-phase2
660905,2.2871549129486084,,,,llama-8b-tootsie-phase2
660928,2.2872860431671143,,,,llama-8b-tootsie-phase2
661000,,2.5851166248321533,2.238663911819458,2.431849718093872,llama-8b-tootsie-phase2
661056,2.2911736965179443,,,,llama-8b-tootsie-phase2
661068,2.2833244800567627,,,,llama-8b-tootsie-phase2
661134,2.279806137084961,,,,llama-8b-tootsie-phase2
661153,2.288769245147705,,,,llama-8b-tootsie-phase2
661165,2.2857844829559326,,,,llama-8b-tootsie-phase2
661213,2.286524772644043,,,,llama-8b-tootsie-phase2
661413,2.286642074584961,,,,llama-8b-tootsie-phase2
661454,2.2761614322662354,,,,llama-8b-tootsie-phase2
661505,2.3009562492370605,,,,llama-8b-tootsie-phase2
661624,2.2983124256134033,,,,llama-8b-tootsie-phase2
661669,2.284999132156372,,,,llama-8b-tootsie-phase2
661685,2.290250539779663,,,,llama-8b-tootsie-phase2
661702,2.279484272003174,,,,llama-8b-tootsie-phase2
661770,2.2889602184295654,,,,llama-8b-tootsie-phase2
661844,2.2813944816589355,,,,llama-8b-tootsie-phase2
661860,2.2943813800811768,,,,llama-8b-tootsie-phase2
661904,2.285067081451416,,,,llama-8b-tootsie-phase2
661917,2.2954747676849365,,,,llama-8b-tootsie-phase2
662000,,2.5912208557128906,2.2416610717773438,2.4322071075439453,llama-8b-tootsie-phase2
662009,2.280763626098633,,,,llama-8b-tootsie-phase2
662127,2.2918500900268555,,,,llama-8b-tootsie-phase2
662133,2.287466287612915,,,,llama-8b-tootsie-phase2
662141,2.2998414039611816,,,,llama-8b-tootsie-phase2
662184,2.2875027656555176,,,,llama-8b-tootsie-phase2
662216,2.290649175643921,,,,llama-8b-tootsie-phase2
662267,2.28118634223938,,,,llama-8b-tootsie-phase2
662414,2.2826380729675293,,,,llama-8b-tootsie-phase2
662418,2.2891767024993896,,,,llama-8b-tootsie-phase2
662446,2.2864229679107666,,,,llama-8b-tootsie-phase2
662453,2.290066719055176,,,,llama-8b-tootsie-phase2
662607,2.292022705078125,,,,llama-8b-tootsie-phase2
662635,2.2812325954437256,,,,llama-8b-tootsie-phase2
662725,2.306670665740967,,,,llama-8b-tootsie-phase2
662786,2.284170627593994,,,,llama-8b-tootsie-phase2
663000,,2.5943572521209717,2.2464659214019775,2.4357504844665527,llama-8b-tootsie-phase2
663092,2.287569046020508,,,,llama-8b-tootsie-phase2
663093,2.3021132946014404,,,,llama-8b-tootsie-phase2
663123,2.29483962059021,,,,llama-8b-tootsie-phase2
663181,2.288904905319214,,,,llama-8b-tootsie-phase2
663189,2.284846782684326,,,,llama-8b-tootsie-phase2
663272,2.2926878929138184,,,,llama-8b-tootsie-phase2
663373,2.284113645553589,,,,llama-8b-tootsie-phase2
663399,2.280099868774414,,,,llama-8b-tootsie-phase2
663425,2.2860655784606934,,,,llama-8b-tootsie-phase2
663442,2.2912168502807617,,,,llama-8b-tootsie-phase2
663506,2.2857706546783447,,,,llama-8b-tootsie-phase2
663559,2.2834157943725586,,,,llama-8b-tootsie-phase2
663611,2.2888834476470947,,,,llama-8b-tootsie-phase2
663706,2.2777371406555176,,,,llama-8b-tootsie-phase2
663902,2.300601005554199,,,,llama-8b-tootsie-phase2
663907,2.288278579711914,,,,llama-8b-tootsie-phase2
663913,2.2868294715881348,,,,llama-8b-tootsie-phase2
663964,2.2888689041137695,,,,llama-8b-tootsie-phase2
664000,,2.5975892543792725,2.247866153717041,2.434886932373047,llama-8b-tootsie-phase2
664001,2.295745849609375,,,,llama-8b-tootsie-phase2
664081,2.297806978225708,,,,llama-8b-tootsie-phase2
664147,2.2891006469726562,,,,llama-8b-tootsie-phase2
664176,2.3026509284973145,,,,llama-8b-tootsie-phase2
664311,2.3666975498199463,,,,llama-8b-tootsie-phase2
664344,2.3019049167633057,,,,llama-8b-tootsie-phase2
664520,2.2966060638427734,,,,llama-8b-tootsie-phase2
664604,2.3032236099243164,,,,llama-8b-tootsie-phase2
664649,2.3000893592834473,,,,llama-8b-tootsie-phase2
664709,2.300708532333374,,,,llama-8b-tootsie-phase2
664812,2.3079166412353516,,,,llama-8b-tootsie-phase2
664866,2.291684627532959,,,,llama-8b-tootsie-phase2
664876,2.302922248840332,,,,llama-8b-tootsie-phase2
664910,2.2908976078033447,,,,llama-8b-tootsie-phase2
