_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
738436,2.3118529319763184,,,,llama-8b-tootsie-phase3
738438,2.2892231941223145,,,,llama-8b-tootsie-phase3
738449,2.3040006160736084,,,,llama-8b-tootsie-phase3
738557,2.3007681369781494,,,,llama-8b-tootsie-phase3
738560,2.2916595935821533,,,,llama-8b-tootsie-phase3
738645,2.3030691146850586,,,,llama-8b-tootsie-phase3
738659,2.291381359100342,,,,llama-8b-tootsie-phase3
738689,2.297131299972534,,,,llama-8b-tootsie-phase3
738697,2.2914724349975586,,,,llama-8b-tootsie-phase3
738736,2.293154716491699,,,,llama-8b-tootsie-phase3
738753,2.304178476333618,,,,llama-8b-tootsie-phase3
738894,2.304124355316162,,,,llama-8b-tootsie-phase3
738946,2.296327829360962,,,,llama-8b-tootsie-phase3
739000,,2.5979180335998535,2.2483737468719482,2.4383292198181152,llama-8b-tootsie-phase3
739056,2.2952425479888916,,,,llama-8b-tootsie-phase3
739109,2.296426296234131,,,,llama-8b-tootsie-phase3
739243,2.294029712677002,,,,llama-8b-tootsie-phase3
739280,2.2968366146087646,,,,llama-8b-tootsie-phase3
739303,2.298142671585083,,,,llama-8b-tootsie-phase3
739431,2.301652193069458,,,,llama-8b-tootsie-phase3
739443,2.2941510677337646,,,,llama-8b-tootsie-phase3
739509,2.2856979370117188,,,,llama-8b-tootsie-phase3
739528,2.302309513092041,,,,llama-8b-tootsie-phase3
739540,2.2940173149108887,,,,llama-8b-tootsie-phase3
739588,2.2948291301727295,,,,llama-8b-tootsie-phase3
739788,2.29419207572937,,,,llama-8b-tootsie-phase3
739829,2.3015849590301514,,,,llama-8b-tootsie-phase3
739880,2.2854256629943848,,,,llama-8b-tootsie-phase3
739999,2.2811431884765625,,,,llama-8b-tootsie-phase3
740045,2.298227071762085,,,,llama-8b-tootsie-phase3
740061,2.3017897605895996,,,,llama-8b-tootsie-phase3
740078,2.2926266193389893,,,,llama-8b-tootsie-phase3
740146,2.310594081878662,,,,llama-8b-tootsie-phase3
740220,2.3019421100616455,,,,llama-8b-tootsie-phase3
740236,2.3053109645843506,,,,llama-8b-tootsie-phase3
740280,2.2964320182800293,,,,llama-8b-tootsie-phase3
740293,2.3048388957977295,,,,llama-8b-tootsie-phase3
740385,2.2997803688049316,,,,llama-8b-tootsie-phase3
740503,2.1350388526916504,,,,llama-8b-tootsie-phase3
740509,2.149674415588379,,,,llama-8b-tootsie-phase3
740517,2.1115646362304688,,,,llama-8b-tootsie-phase3
740560,2.0735561847686768,,,,llama-8b-tootsie-phase3
740592,2.061652183532715,,,,llama-8b-tootsie-phase3
740643,2.074401378631592,,,,llama-8b-tootsie-phase3
740790,2.052767276763916,,,,llama-8b-tootsie-phase3
740794,2.0675771236419678,,,,llama-8b-tootsie-phase3
740822,2.0422523021698,,,,llama-8b-tootsie-phase3
740829,2.051131010055542,,,,llama-8b-tootsie-phase3
740983,2.0356578826904297,,,,llama-8b-tootsie-phase3
741000,,2.621800422668457,2.2563414573669434,2.5693697929382324,llama-8b-tootsie-phase3
741011,2.037362575531006,,,,llama-8b-tootsie-phase3
741101,2.158776044845581,,,,llama-8b-tootsie-phase3
741162,2.040631055831909,,,,llama-8b-tootsie-phase3
741468,2.0380847454071045,,,,llama-8b-tootsie-phase3
741469,2.0418481826782227,,,,llama-8b-tootsie-phase3
741499,2.0373010635375977,,,,llama-8b-tootsie-phase3
741557,2.0255661010742188,,,,llama-8b-tootsie-phase3
741565,2.030846118927002,,,,llama-8b-tootsie-phase3
741648,2.033015727996826,,,,llama-8b-tootsie-phase3
741749,2.0318691730499268,,,,llama-8b-tootsie-phase3
741775,2.027987003326416,,,,llama-8b-tootsie-phase3
741801,2.03009295463562,,,,llama-8b-tootsie-phase3
741818,2.068807601928711,,,,llama-8b-tootsie-phase3
741882,2.03108549118042,,,,llama-8b-tootsie-phase3
741935,2.0017507076263428,,,,llama-8b-tootsie-phase3
741987,2.0242161750793457,,,,llama-8b-tootsie-phase3
742000,,2.6454601287841797,2.25917649269104,2.5894432067871094,llama-8b-tootsie-phase3
742082,2.0273823738098145,,,,llama-8b-tootsie-phase3
742278,2.019784927368164,,,,llama-8b-tootsie-phase3
742283,2.0203089714050293,,,,llama-8b-tootsie-phase3
742289,2.022240400314331,,,,llama-8b-tootsie-phase3
742302,2.03232479095459,,,,llama-8b-tootsie-phase3
742340,2.163296937942505,,,,llama-8b-tootsie-phase3
742377,2.0240674018859863,,,,llama-8b-tootsie-phase3
742457,2.0168073177337646,,,,llama-8b-tootsie-phase3
742523,2.0067811012268066,,,,llama-8b-tootsie-phase3
742552,2.0193188190460205,,,,llama-8b-tootsie-phase3
742687,2.0258371829986572,,,,llama-8b-tootsie-phase3
742720,2.0225942134857178,,,,llama-8b-tootsie-phase3
742896,2.0060415267944336,,,,llama-8b-tootsie-phase3
742980,2.0188679695129395,,,,llama-8b-tootsie-phase3
743000,,2.657498836517334,2.2633187770843506,2.5943031311035156,llama-8b-tootsie-phase3
743025,2.004042863845825,,,,llama-8b-tootsie-phase3
743085,2.018010139465332,,,,llama-8b-tootsie-phase3
743188,2.018989324569702,,,,llama-8b-tootsie-phase3
743242,2.0069222450256348,,,,llama-8b-tootsie-phase3
743252,2.0158047676086426,,,,llama-8b-tootsie-phase3
743286,2.004044771194458,,,,llama-8b-tootsie-phase3
743303,2.015054941177368,,,,llama-8b-tootsie-phase3
