_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
820195,2.3371469974517822,,,,llama-8b-tootsie-adept-phoenix
820247,2.325448751449585,,,,llama-8b-tootsie-adept-phoenix
820444,2.3261563777923584,,,,llama-8b-tootsie-adept-phoenix
821000,,2.566624164581299,2.230484962463379,2.518091917037964,llama-8b-tootsie-adept-phoenix
821594,2.3807950019836426,,,,llama-8b-tootsie-adept-phoenix
821842,2.388059616088867,,,,llama-8b-tootsie-adept-phoenix
822000,,2.606841564178467,2.323742628097534,2.584474563598633,llama-8b-tootsie-adept-phoenix
822066,2.342607021331787,,,,llama-8b-tootsie-adept-phoenix
822141,2.3409810066223145,,,,llama-8b-tootsie-adept-phoenix
822192,2.339970588684082,,,,llama-8b-tootsie-adept-phoenix
822532,2.327178716659546,,,,llama-8b-tootsie-adept-phoenix
822711,2.311528205871582,,,,llama-8b-tootsie-adept-phoenix
823000,,2.6155335903167725,2.3531477451324463,2.602585792541504,llama-8b-tootsie-adept-phoenix
823018,2.3193626403808594,,,,llama-8b-tootsie-adept-phoenix
823367,2.32243275642395,,,,llama-8b-tootsie-adept-phoenix
823484,2.3034753799438477,,,,llama-8b-tootsie-adept-phoenix
824000,,2.578338146209717,2.3220434188842773,2.5667881965637207,llama-8b-tootsie-adept-phoenix
824072,2.295483350753784,,,,llama-8b-tootsie-adept-phoenix
824634,2.280576229095459,,,,llama-8b-tootsie-adept-phoenix
824737,2.2714390754699707,,,,llama-8b-tootsie-adept-phoenix
824801,2.2665791511535645,,,,llama-8b-tootsie-adept-phoenix
824962,2.2825992107391357,,,,llama-8b-tootsie-adept-phoenix
825000,,2.5651495456695557,2.313253879547119,2.5564656257629395,llama-8b-tootsie-adept-phoenix
825118,2.2656192779541016,,,,llama-8b-tootsie-adept-phoenix
825862,2.256521463394165,,,,llama-8b-tootsie-adept-phoenix
826000,,2.55405592918396,2.3073859214782715,2.5490915775299072,llama-8b-tootsie-adept-phoenix
826041,2.2649314403533936,,,,llama-8b-tootsie-adept-phoenix
826293,2.27445650100708,,,,llama-8b-tootsie-adept-phoenix
827000,,2.5475642681121826,2.30210542678833,2.542187213897705,llama-8b-tootsie-adept-phoenix
827148,2.2614636421203613,,,,llama-8b-tootsie-adept-phoenix
827300,2.2701327800750732,,,,llama-8b-tootsie-adept-phoenix
827371,2.2616615295410156,,,,llama-8b-tootsie-adept-phoenix
827555,2.257192373275757,,,,llama-8b-tootsie-adept-phoenix
827746,2.2802352905273438,,,,llama-8b-tootsie-adept-phoenix
828000,,2.544267416000366,2.302504539489746,2.5428361892700195,llama-8b-tootsie-adept-phoenix
828094,2.2496066093444824,,,,llama-8b-tootsie-adept-phoenix
828333,2.2586398124694824,,,,llama-8b-tootsie-adept-phoenix
828371,2.2434027194976807,,,,llama-8b-tootsie-adept-phoenix
828504,2.2536449432373047,,,,llama-8b-tootsie-adept-phoenix
828682,2.248849630355835,,,,llama-8b-tootsie-adept-phoenix
828724,2.2617299556732178,,,,llama-8b-tootsie-adept-phoenix
828730,2.2486956119537354,,,,llama-8b-tootsie-adept-phoenix
829000,,2.541144609451294,2.300915241241455,2.5413599014282227,llama-8b-tootsie-adept-phoenix
829824,2.25717830657959,,,,llama-8b-tootsie-adept-phoenix
830000,,2.537259578704834,2.297733783721924,2.5381531715393066,llama-8b-tootsie-adept-phoenix
830375,2.260540008544922,,,,llama-8b-tootsie-adept-phoenix
830796,2.245487928390503,,,,llama-8b-tootsie-adept-phoenix
831000,,2.5414974689483643,2.298105478286743,2.5356545448303223,llama-8b-tootsie-adept-phoenix
831106,2.24212646484375,,,,llama-8b-tootsie-adept-phoenix
831247,2.2547731399536133,,,,llama-8b-tootsie-adept-phoenix
831294,2.239297866821289,,,,llama-8b-tootsie-adept-phoenix
832000,,2.5342185497283936,2.2987492084503174,2.5374257564544678,llama-8b-tootsie-adept-phoenix
832202,2.2436726093292236,,,,llama-8b-tootsie-adept-phoenix
832217,2.2462968826293945,,,,llama-8b-tootsie-adept-phoenix
832403,2.221018075942993,,,,llama-8b-tootsie-adept-phoenix
832910,2.2309250831604004,,,,llama-8b-tootsie-adept-phoenix
832925,2.236248731613159,,,,llama-8b-tootsie-adept-phoenix
833000,,2.5339674949645996,2.297114610671997,2.5344626903533936,llama-8b-tootsie-adept-phoenix
833025,2.239027500152588,,,,llama-8b-tootsie-adept-phoenix
833939,2.232266902923584,,,,llama-8b-tootsie-adept-phoenix
834000,,2.5308589935302734,2.295119285583496,2.5328264236450195,llama-8b-tootsie-adept-phoenix
834014,2.233856678009033,,,,llama-8b-tootsie-adept-phoenix
834056,2.245138645172119,,,,llama-8b-tootsie-adept-phoenix
834105,2.2310128211975098,,,,llama-8b-tootsie-adept-phoenix
834944,2.238766670227051,,,,llama-8b-tootsie-adept-phoenix
835000,,2.531797409057617,2.297825336456299,2.5338878631591797,llama-8b-tootsie-adept-phoenix
835313,2.2356393337249756,,,,llama-8b-tootsie-adept-phoenix
835495,2.236638069152832,,,,llama-8b-tootsie-adept-phoenix
835750,2.242673635482788,,,,llama-8b-tootsie-adept-phoenix
836000,,2.52972149848938,2.296250343322754,2.5325074195861816,llama-8b-tootsie-adept-phoenix
836171,2.231998920440674,,,,llama-8b-tootsie-adept-phoenix
836553,2.2343270778656006,,,,llama-8b-tootsie-adept-phoenix
836888,2.2334189414978027,,,,llama-8b-tootsie-adept-phoenix
837000,,2.527944564819336,2.2954328060150146,2.5320286750793457,llama-8b-tootsie-adept-phoenix
837121,2.238694190979004,,,,llama-8b-tootsie-adept-phoenix
837674,2.243894100189209,,,,llama-8b-tootsie-adept-phoenix
838000,,2.530000686645508,2.2947492599487305,2.530561923980713,llama-8b-tootsie-adept-phoenix
838523,2.2258477210998535,,,,llama-8b-tootsie-adept-phoenix
838659,2.2313456535339355,,,,llama-8b-tootsie-adept-phoenix
838786,2.2505481243133545,,,,llama-8b-tootsie-adept-phoenix
839000,,2.5279765129089355,2.297772169113159,2.53521728515625,llama-8b-tootsie-adept-phoenix
839063,2.235828161239624,,,,llama-8b-tootsie-adept-phoenix
839603,2.2399609088897705,,,,llama-8b-tootsie-adept-phoenix
839649,2.2566616535186768,,,,llama-8b-tootsie-adept-phoenix
840000,,2.526555061340332,2.296699047088623,2.5302891731262207,llama-8b-tootsie-adept-phoenix
840259,2.234494924545288,,,,llama-8b-tootsie-adept-phoenix
840271,2.2359015941619873,,,,llama-8b-tootsie-adept-phoenix
