_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
0,,12.24509048461914,12.247020721435547,11.482585906982422,llama-real-70b-tootsie
73,7.624020099639893,,,,llama-real-70b-tootsie
269,5.487351894378662,,,,llama-real-70b-tootsie
321,5.074831485748291,,,,llama-real-70b-tootsie
360,4.963933944702148,,,,llama-real-70b-tootsie
518,4.136362075805664,,,,llama-real-70b-tootsie
680,3.7659168243408203,,,,llama-real-70b-tootsie
1055,3.32840895652771,,,,llama-real-70b-tootsie
1067,3.2996666431427,,,,llama-real-70b-tootsie
1668,2.995148181915283,,,,llama-real-70b-tootsie
1916,2.878007650375366,,,,llama-real-70b-tootsie
2132,2.8349928855895996,,,,llama-real-70b-tootsie
2140,2.8514907360076904,,,,llama-real-70b-tootsie
2183,2.8301289081573486,,,,llama-real-70b-tootsie
2215,2.838613748550415,,,,llama-real-70b-tootsie
2266,2.8177554607391357,,,,llama-real-70b-tootsie
2606,2.756755828857422,,,,llama-real-70b-tootsie
2785,2.7462613582611084,,,,llama-real-70b-tootsie
3091,2.71492600440979,,,,llama-real-70b-tootsie
3092,2.7193005084991455,,,,llama-real-70b-tootsie
3372,2.6771457195281982,,,,llama-real-70b-tootsie
3441,2.6684863567352295,,,,llama-real-70b-tootsie
3558,2.66908597946167,,,,llama-real-70b-tootsie
3906,2.609029769897461,,,,llama-real-70b-tootsie
4080,2.6339807510375977,,,,llama-real-70b-tootsie
4146,2.620729923248291,,,,llama-real-70b-tootsie
4708,2.575061321258545,,,,llama-real-70b-tootsie
4811,2.586376905441284,,,,llama-real-70b-tootsie
4875,2.5807859897613525,,,,llama-real-70b-tootsie
4909,2.564854860305786,,,,llama-real-70b-tootsie
5036,2.571281909942627,,,,llama-real-70b-tootsie
5192,2.566575765609741,,,,llama-real-70b-tootsie
5936,2.5375871658325195,,,,llama-real-70b-tootsie
6032,2.5032882690429688,,,,llama-real-70b-tootsie
6115,2.5078670978546143,,,,llama-real-70b-tootsie
6367,2.523972272872925,,,,llama-real-70b-tootsie
7140,2.473342180252075,,,,llama-real-70b-tootsie
7222,2.46419358253479,,,,llama-real-70b-tootsie
7374,2.4525868892669678,,,,llama-real-70b-tootsie
7445,2.4722084999084473,,,,llama-real-70b-tootsie
7525,2.4646992683410645,,,,llama-real-70b-tootsie
7629,2.4717459678649902,,,,llama-real-70b-tootsie
7745,2.477137804031372,,,,llama-real-70b-tootsie
7820,2.460448741912842,,,,llama-real-70b-tootsie
8168,2.463409662246704,,,,llama-real-70b-tootsie
8305,2.451326608657837,,,,llama-real-70b-tootsie
8407,2.4108901023864746,,,,llama-real-70b-tootsie
8445,2.4449825286865234,,,,llama-real-70b-tootsie
8566,2.449106216430664,,,,llama-real-70b-tootsie
8578,2.4318642616271973,,,,llama-real-70b-tootsie
8756,2.434758424758911,,,,llama-real-70b-tootsie
8781,2.449303388595581,,,,llama-real-70b-tootsie
8798,2.442974805831909,,,,llama-real-70b-tootsie
8804,2.4220974445343018,,,,llama-real-70b-tootsie
9674,2.3898518085479736,,,,llama-real-70b-tootsie
9898,2.4162795543670654,,,,llama-real-70b-tootsie
10000,,2.702622652053833,2.370070457458496,2.5519843101501465,llama-real-70b-tootsie
10282,2.3999948501586914,,,,llama-real-70b-tootsie
10296,2.3740713596343994,,,,llama-real-70b-tootsie
10303,2.400519609451294,,,,llama-real-70b-tootsie
10304,2.404961347579956,,,,llama-real-70b-tootsie
10449,2.3855819702148438,,,,llama-real-70b-tootsie
10870,2.4108569622039795,,,,llama-real-70b-tootsie
10941,2.373748302459717,,,,llama-real-70b-tootsie
11180,2.3918511867523193,,,,llama-real-70b-tootsie
11321,2.3904542922973633,,,,llama-real-70b-tootsie
11368,2.395716905593872,,,,llama-real-70b-tootsie
11475,2.3858866691589355,,,,llama-real-70b-tootsie
12007,2.38521146774292,,,,llama-real-70b-tootsie
12276,2.359705924987793,,,,llama-real-70b-tootsie
12291,2.3801798820495605,,,,llama-real-70b-tootsie
12477,2.3533875942230225,,,,llama-real-70b-tootsie
12683,2.3674991130828857,,,,llama-real-70b-tootsie
12827,2.3591156005859375,,,,llama-real-70b-tootsie
12984,2.3378407955169678,,,,llama-real-70b-tootsie
12999,2.351719379425049,,,,llama-real-70b-tootsie
13021,2.3552324771881104,,,,llama-real-70b-tootsie
13099,2.3418703079223633,,,,llama-real-70b-tootsie
13231,2.3647027015686035,,,,llama-real-70b-tootsie
14013,2.330516815185547,,,,llama-real-70b-tootsie
14043,2.324420690536499,,,,llama-real-70b-tootsie
14088,2.346392869949341,,,,llama-real-70b-tootsie
14130,2.336263418197632,,,,llama-real-70b-tootsie
14179,2.3554563522338867,,,,llama-real-70b-tootsie
15018,2.325378894805908,,,,llama-real-70b-tootsie
15387,2.32352352142334,,,,llama-real-70b-tootsie
15469,2.3220551013946533,,,,llama-real-70b-tootsie
15569,2.351896047592163,,,,llama-real-70b-tootsie
15824,2.3287112712860107,,,,llama-real-70b-tootsie
16245,2.312192916870117,,,,llama-real-70b-tootsie
16463,2.323439836502075,,,,llama-real-70b-tootsie
16468,2.308452606201172,,,,llama-real-70b-tootsie
16627,2.314920425415039,,,,llama-real-70b-tootsie
16722,2.299089193344116,,,,llama-real-70b-tootsie
16962,2.306234836578369,,,,llama-real-70b-tootsie
17195,2.321422576904297,,,,llama-real-70b-tootsie
17743,2.2962961196899414,,,,llama-real-70b-tootsie
17748,2.2896013259887695,,,,llama-real-70b-tootsie
18597,2.2862465381622314,,,,llama-real-70b-tootsie
18733,2.3044862747192383,,,,llama-real-70b-tootsie
18860,2.299948215484619,,,,llama-real-70b-tootsie
18921,2.3047919273376465,,,,llama-real-70b-tootsie
19137,2.2833969593048096,,,,llama-real-70b-tootsie
19677,2.2917165756225586,,,,llama-real-70b-tootsie
19723,2.2771525382995605,,,,llama-real-70b-tootsie
19880,2.2779347896575928,,,,llama-real-70b-tootsie
19924,2.276923656463623,,,,llama-real-70b-tootsie
20202,2.3191487789154053,,,,llama-real-70b-tootsie
20334,2.2730672359466553,,,,llama-real-70b-tootsie
20346,2.2730836868286133,,,,llama-real-70b-tootsie
20462,2.29659366607666,,,,llama-real-70b-tootsie
20943,2.268871307373047,,,,llama-real-70b-tootsie
20978,2.28663969039917,,,,llama-real-70b-tootsie
21041,2.27344012260437,,,,llama-real-70b-tootsie
21133,2.2646851539611816,,,,llama-real-70b-tootsie
21250,2.2839581966400146,,,,llama-real-70b-tootsie
21470,2.276768684387207,,,,llama-real-70b-tootsie
21622,2.273230791091919,,,,llama-real-70b-tootsie
22404,2.277167320251465,,,,llama-real-70b-tootsie
22529,2.27139949798584,,,,llama-real-70b-tootsie
22640,2.2553601264953613,,,,llama-real-70b-tootsie
22768,2.2727303504943848,,,,llama-real-70b-tootsie
22917,2.253537654876709,,,,llama-real-70b-tootsie
23049,2.267028331756592,,,,llama-real-70b-tootsie
23125,2.255950927734375,,,,llama-real-70b-tootsie
23128,2.251145124435425,,,,llama-real-70b-tootsie
23341,2.270716667175293,,,,llama-real-70b-tootsie
23469,2.2735369205474854,,,,llama-real-70b-tootsie
23548,2.267946481704712,,,,llama-real-70b-tootsie
23722,2.257516860961914,,,,llama-real-70b-tootsie
23764,2.2691431045532227,,,,llama-real-70b-tootsie
23884,2.2633488178253174,,,,llama-real-70b-tootsie
23969,2.248796224594116,,,,llama-real-70b-tootsie
24049,2.224356174468994,,,,llama-real-70b-tootsie
24209,2.2338175773620605,,,,llama-real-70b-tootsie
24402,2.252372980117798,,,,llama-real-70b-tootsie
24411,2.2479662895202637,,,,llama-real-70b-tootsie
24419,2.2727818489074707,,,,llama-real-70b-tootsie
24530,2.268389940261841,,,,llama-real-70b-tootsie
