_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
819926,1.754188895225525,,,,tootsie-8b-soft-raccoon-3
819939,1.7375634908676147,,,,tootsie-8b-soft-raccoon-3
819943,1.7377502918243408,,,,tootsie-8b-soft-raccoon-3
819955,1.7395658493041992,,,,tootsie-8b-soft-raccoon-3
819957,1.7309775352478027,,,,tootsie-8b-soft-raccoon-3
819958,1.7436250448226929,,,,tootsie-8b-soft-raccoon-3
819969,1.748470425605774,,,,tootsie-8b-soft-raccoon-3
819972,1.7369617223739624,,,,tootsie-8b-soft-raccoon-3
819975,1.7522776126861572,,,,tootsie-8b-soft-raccoon-3
819978,1.7449383735656738,,,,tootsie-8b-soft-raccoon-3
819979,1.762764811515808,,,,tootsie-8b-soft-raccoon-3
819980,1.7456200122833252,,,,tootsie-8b-soft-raccoon-3
819985,1.7444666624069214,,,,tootsie-8b-soft-raccoon-3
819987,1.7487457990646362,,,,tootsie-8b-soft-raccoon-3
819990,1.741188406944275,,,,tootsie-8b-soft-raccoon-3
819998,1.736737847328186,,,,tootsie-8b-soft-raccoon-3
820000,,2.604898452758789,1.4811729192733765,2.4696667194366455,tootsie-8b-soft-raccoon-3
820006,1.74269700050354,,,,tootsie-8b-soft-raccoon-3
820012,1.735233187675476,,,,tootsie-8b-soft-raccoon-3
820016,1.7500377893447876,,,,tootsie-8b-soft-raccoon-3
820020,1.7401068210601807,,,,tootsie-8b-soft-raccoon-3
820041,1.7348744869232178,,,,tootsie-8b-soft-raccoon-3
820046,1.7425628900527954,,,,tootsie-8b-soft-raccoon-3
820054,1.7407209873199463,,,,tootsie-8b-soft-raccoon-3
820055,1.7351295948028564,,,,tootsie-8b-soft-raccoon-3
820076,1.7434663772583008,,,,tootsie-8b-soft-raccoon-3
820084,1.7406694889068604,,,,tootsie-8b-soft-raccoon-3
820087,1.7393410205841064,,,,tootsie-8b-soft-raccoon-3
820101,1.7520027160644531,,,,tootsie-8b-soft-raccoon-3
820106,1.7399846315383911,,,,tootsie-8b-soft-raccoon-3
820108,1.7318538427352905,,,,tootsie-8b-soft-raccoon-3
820109,1.7349311113357544,,,,tootsie-8b-soft-raccoon-3
820113,1.7320700883865356,,,,tootsie-8b-soft-raccoon-3
820120,1.7387826442718506,,,,tootsie-8b-soft-raccoon-3
820124,1.7466111183166504,,,,tootsie-8b-soft-raccoon-3
820128,1.7445913553237915,,,,tootsie-8b-soft-raccoon-3
820148,1.7538235187530518,,,,tootsie-8b-soft-raccoon-3
820152,1.7257691621780396,,,,tootsie-8b-soft-raccoon-3
820182,1.7537028789520264,,,,tootsie-8b-soft-raccoon-3
820186,1.748511552810669,,,,tootsie-8b-soft-raccoon-3
820187,1.7382851839065552,,,,tootsie-8b-soft-raccoon-3
820194,1.7350568771362305,,,,tootsie-8b-soft-raccoon-3
820198,1.73086678981781,,,,tootsie-8b-soft-raccoon-3
820199,1.7295887470245361,,,,tootsie-8b-soft-raccoon-3
820204,1.7373526096343994,,,,tootsie-8b-soft-raccoon-3
820206,1.7333680391311646,,,,tootsie-8b-soft-raccoon-3
820208,1.7528926134109497,,,,tootsie-8b-soft-raccoon-3
820215,1.7468559741973877,,,,tootsie-8b-soft-raccoon-3
820219,1.7369438409805298,,,,tootsie-8b-soft-raccoon-3
820227,1.7354602813720703,,,,tootsie-8b-soft-raccoon-3
820238,1.7500272989273071,,,,tootsie-8b-soft-raccoon-3
820241,1.7619428634643555,,,,tootsie-8b-soft-raccoon-3
820246,1.7488292455673218,,,,tootsie-8b-soft-raccoon-3
820247,1.7404884099960327,,,,tootsie-8b-soft-raccoon-3
820255,1.750412106513977,,,,tootsie-8b-soft-raccoon-3
820256,1.7363611459732056,,,,tootsie-8b-soft-raccoon-3
820268,1.72783362865448,,,,tootsie-8b-soft-raccoon-3
820277,1.741776943206787,,,,tootsie-8b-soft-raccoon-3
820285,1.737393856048584,,,,tootsie-8b-soft-raccoon-3
820295,1.749892234802246,,,,tootsie-8b-soft-raccoon-3
820302,1.7470948696136475,,,,tootsie-8b-soft-raccoon-3
820321,1.7204111814498901,,,,tootsie-8b-soft-raccoon-3
820330,1.7263094186782837,,,,tootsie-8b-soft-raccoon-3
820349,1.7377861738204956,,,,tootsie-8b-soft-raccoon-3
820350,1.7318342924118042,,,,tootsie-8b-soft-raccoon-3
820353,1.7432326078414917,,,,tootsie-8b-soft-raccoon-3
820354,1.7377464771270752,,,,tootsie-8b-soft-raccoon-3
820369,1.7355709075927734,,,,tootsie-8b-soft-raccoon-3
820370,1.7437905073165894,,,,tootsie-8b-soft-raccoon-3
820393,1.7305103540420532,,,,tootsie-8b-soft-raccoon-3
820404,1.742979884147644,,,,tootsie-8b-soft-raccoon-3
820409,1.7293819189071655,,,,tootsie-8b-soft-raccoon-3
820415,1.7420192956924438,,,,tootsie-8b-soft-raccoon-3
820417,1.734094500541687,,,,tootsie-8b-soft-raccoon-3
820426,1.739441156387329,,,,tootsie-8b-soft-raccoon-3
820428,1.7490941286087036,,,,tootsie-8b-soft-raccoon-3
820443,1.7214906215667725,,,,tootsie-8b-soft-raccoon-3
820448,1.7336269617080688,,,,tootsie-8b-soft-raccoon-3
820463,1.7330738306045532,,,,tootsie-8b-soft-raccoon-3
820466,1.7211875915527344,,,,tootsie-8b-soft-raccoon-3
820470,1.7430256605148315,,,,tootsie-8b-soft-raccoon-3
820472,1.7471734285354614,,,,tootsie-8b-soft-raccoon-3
820489,1.7404793500900269,,,,tootsie-8b-soft-raccoon-3
820492,1.74225652217865,,,,tootsie-8b-soft-raccoon-3
820495,1.724260687828064,,,,tootsie-8b-soft-raccoon-3
820536,1.7204440832138062,,,,tootsie-8b-soft-raccoon-3
820538,1.7402933835983276,,,,tootsie-8b-soft-raccoon-3
820542,1.742134690284729,,,,tootsie-8b-soft-raccoon-3
820547,1.714691400527954,,,,tootsie-8b-soft-raccoon-3
820550,1.7335506677627563,,,,tootsie-8b-soft-raccoon-3
820562,1.7259631156921387,,,,tootsie-8b-soft-raccoon-3
820567,1.7312343120574951,,,,tootsie-8b-soft-raccoon-3
820568,1.720697283744812,,,,tootsie-8b-soft-raccoon-3
820574,1.7468489408493042,,,,tootsie-8b-soft-raccoon-3
820577,1.7223907709121704,,,,tootsie-8b-soft-raccoon-3
820578,1.7183306217193604,,,,tootsie-8b-soft-raccoon-3
820580,1.7276561260223389,,,,tootsie-8b-soft-raccoon-3
820601,1.7513352632522583,,,,tootsie-8b-soft-raccoon-3
820602,1.7416681051254272,,,,tootsie-8b-soft-raccoon-3
820605,1.7450371980667114,,,,tootsie-8b-soft-raccoon-3
820617,1.7318718433380127,,,,tootsie-8b-soft-raccoon-3
820623,1.7428603172302246,,,,tootsie-8b-soft-raccoon-3
820632,1.737135648727417,,,,tootsie-8b-soft-raccoon-3
820638,1.739152193069458,,,,tootsie-8b-soft-raccoon-3
820645,1.7349835634231567,,,,tootsie-8b-soft-raccoon-3
820654,1.7322773933410645,,,,tootsie-8b-soft-raccoon-3
820658,1.7175397872924805,,,,tootsie-8b-soft-raccoon-3
820662,1.7341587543487549,,,,tootsie-8b-soft-raccoon-3
820676,1.7168322801589966,,,,tootsie-8b-soft-raccoon-3
820681,1.746139407157898,,,,tootsie-8b-soft-raccoon-3
820683,1.730831265449524,,,,tootsie-8b-soft-raccoon-3
820693,1.7550288438796997,,,,tootsie-8b-soft-raccoon-3
820699,1.7386337518692017,,,,tootsie-8b-soft-raccoon-3
820707,1.727030873298645,,,,tootsie-8b-soft-raccoon-3
820715,1.7352373600006104,,,,tootsie-8b-soft-raccoon-3
820727,1.7216202020645142,,,,tootsie-8b-soft-raccoon-3
820735,1.7267154455184937,,,,tootsie-8b-soft-raccoon-3
820742,1.7502539157867432,,,,tootsie-8b-soft-raccoon-3
820761,1.756719946861267,,,,tootsie-8b-soft-raccoon-3
820763,1.7340595722198486,,,,tootsie-8b-soft-raccoon-3
820765,1.739664077758789,,,,tootsie-8b-soft-raccoon-3
820771,1.7266714572906494,,,,tootsie-8b-soft-raccoon-3
820773,1.7190171480178833,,,,tootsie-8b-soft-raccoon-3
820779,1.7464717626571655,,,,tootsie-8b-soft-raccoon-3
820792,1.7335515022277832,,,,tootsie-8b-soft-raccoon-3
820801,1.7393896579742432,,,,tootsie-8b-soft-raccoon-3
820808,1.73881196975708,,,,tootsie-8b-soft-raccoon-3
820809,1.7244430780410767,,,,tootsie-8b-soft-raccoon-3
820813,1.7295423746109009,,,,tootsie-8b-soft-raccoon-3
820828,1.7272289991378784,,,,tootsie-8b-soft-raccoon-3
820829,1.7296916246414185,,,,tootsie-8b-soft-raccoon-3
820834,1.7457417249679565,,,,tootsie-8b-soft-raccoon-3
820836,1.7345223426818848,,,,tootsie-8b-soft-raccoon-3
820838,1.7333190441131592,,,,tootsie-8b-soft-raccoon-3
820844,1.7360944747924805,,,,tootsie-8b-soft-raccoon-3
820846,1.762312412261963,,,,tootsie-8b-soft-raccoon-3
820849,1.7276840209960938,,,,tootsie-8b-soft-raccoon-3
820852,1.7372313737869263,,,,tootsie-8b-soft-raccoon-3
820864,1.7314980030059814,,,,tootsie-8b-soft-raccoon-3
820865,1.7499010562896729,,,,tootsie-8b-soft-raccoon-3
820870,1.7474759817123413,,,,tootsie-8b-soft-raccoon-3
820872,1.751299262046814,,,,tootsie-8b-soft-raccoon-3
820894,1.743915319442749,,,,tootsie-8b-soft-raccoon-3
820896,1.7305078506469727,,,,tootsie-8b-soft-raccoon-3
820903,1.7356128692626953,,,,tootsie-8b-soft-raccoon-3
820906,1.735601782798767,,,,tootsie-8b-soft-raccoon-3
820917,1.737160086631775,,,,tootsie-8b-soft-raccoon-3
820922,1.7296957969665527,,,,tootsie-8b-soft-raccoon-3
820925,1.7457164525985718,,,,tootsie-8b-soft-raccoon-3
820927,1.740538477897644,,,,tootsie-8b-soft-raccoon-3
820951,1.7509211301803589,,,,tootsie-8b-soft-raccoon-3
820958,1.7349470853805542,,,,tootsie-8b-soft-raccoon-3
820959,1.7426707744598389,,,,tootsie-8b-soft-raccoon-3
820960,1.7300570011138916,,,,tootsie-8b-soft-raccoon-3
820961,1.7476555109024048,,,,tootsie-8b-soft-raccoon-3
820966,1.7413394451141357,,,,tootsie-8b-soft-raccoon-3
820967,1.7254581451416016,,,,tootsie-8b-soft-raccoon-3
820973,1.7146494388580322,,,,tootsie-8b-soft-raccoon-3
820980,1.7518031597137451,,,,tootsie-8b-soft-raccoon-3
820992,1.723016381263733,,,,tootsie-8b-soft-raccoon-3
820995,1.7259465456008911,,,,tootsie-8b-soft-raccoon-3
820997,1.738034963607788,,,,tootsie-8b-soft-raccoon-3
821000,1.7322771549224854,2.602771282196045,1.4781602621078491,2.4653210639953613,tootsie-8b-soft-raccoon-3
821008,1.7382196187973022,,,,tootsie-8b-soft-raccoon-3
821025,1.750685214996338,,,,tootsie-8b-soft-raccoon-3
821054,1.7266401052474976,,,,tootsie-8b-soft-raccoon-3
821058,1.7437435388565063,,,,tootsie-8b-soft-raccoon-3
821059,1.7278181314468384,,,,tootsie-8b-soft-raccoon-3
821067,1.7337700128555298,,,,tootsie-8b-soft-raccoon-3
821075,1.7268331050872803,,,,tootsie-8b-soft-raccoon-3
821077,1.7365295886993408,,,,tootsie-8b-soft-raccoon-3
821079,1.725351095199585,,,,tootsie-8b-soft-raccoon-3
821089,1.7356714010238647,,,,tootsie-8b-soft-raccoon-3
821095,1.7427964210510254,,,,tootsie-8b-soft-raccoon-3
821106,1.7273838520050049,,,,tootsie-8b-soft-raccoon-3
821107,1.7236069440841675,,,,tootsie-8b-soft-raccoon-3
821126,1.7312872409820557,,,,tootsie-8b-soft-raccoon-3
821128,1.719465732574463,,,,tootsie-8b-soft-raccoon-3
821132,1.7353228330612183,,,,tootsie-8b-soft-raccoon-3
821134,1.7355934381484985,,,,tootsie-8b-soft-raccoon-3
821137,1.7422453165054321,,,,tootsie-8b-soft-raccoon-3
821138,1.7420779466629028,,,,tootsie-8b-soft-raccoon-3
821144,1.7326157093048096,,,,tootsie-8b-soft-raccoon-3
821188,1.73343825340271,,,,tootsie-8b-soft-raccoon-3
821190,1.7374675273895264,,,,tootsie-8b-soft-raccoon-3
821197,1.7515113353729248,,,,tootsie-8b-soft-raccoon-3
821199,1.7343565225601196,,,,tootsie-8b-soft-raccoon-3
821204,1.729933738708496,,,,tootsie-8b-soft-raccoon-3
821237,1.7291555404663086,,,,tootsie-8b-soft-raccoon-3
821252,1.7237051725387573,,,,tootsie-8b-soft-raccoon-3
821283,1.7429964542388916,,,,tootsie-8b-soft-raccoon-3
821287,1.727129578590393,,,,tootsie-8b-soft-raccoon-3
821295,1.7205226421356201,,,,tootsie-8b-soft-raccoon-3
821296,1.7305822372436523,,,,tootsie-8b-soft-raccoon-3
821306,1.727095365524292,,,,tootsie-8b-soft-raccoon-3
821321,1.7244898080825806,,,,tootsie-8b-soft-raccoon-3
821324,1.7241542339324951,,,,tootsie-8b-soft-raccoon-3
821337,1.7297356128692627,,,,tootsie-8b-soft-raccoon-3
821350,1.7314270734786987,,,,tootsie-8b-soft-raccoon-3
821357,1.7206175327301025,,,,tootsie-8b-soft-raccoon-3
821362,1.725114107131958,,,,tootsie-8b-soft-raccoon-3
821367,1.738360047340393,,,,tootsie-8b-soft-raccoon-3
821371,1.7410125732421875,,,,tootsie-8b-soft-raccoon-3
821375,1.7292338609695435,,,,tootsie-8b-soft-raccoon-3
821378,1.7331517934799194,,,,tootsie-8b-soft-raccoon-3
821380,1.7359142303466797,,,,tootsie-8b-soft-raccoon-3
821382,1.7452895641326904,,,,tootsie-8b-soft-raccoon-3
821391,1.7330251932144165,,,,tootsie-8b-soft-raccoon-3
821396,1.7286741733551025,,,,tootsie-8b-soft-raccoon-3
821408,1.7458864450454712,,,,tootsie-8b-soft-raccoon-3
821410,1.7247962951660156,,,,tootsie-8b-soft-raccoon-3
821415,1.7328534126281738,,,,tootsie-8b-soft-raccoon-3
821429,1.7208311557769775,,,,tootsie-8b-soft-raccoon-3
821438,1.7396814823150635,,,,tootsie-8b-soft-raccoon-3
821452,1.7372114658355713,,,,tootsie-8b-soft-raccoon-3
821455,1.733139157295227,,,,tootsie-8b-soft-raccoon-3
821456,1.732385277748108,,,,tootsie-8b-soft-raccoon-3
821457,1.717720866203308,,,,tootsie-8b-soft-raccoon-3
821467,1.729432225227356,,,,tootsie-8b-soft-raccoon-3
821472,1.7333699464797974,,,,tootsie-8b-soft-raccoon-3
821475,1.7256324291229248,,,,tootsie-8b-soft-raccoon-3
821488,1.7181671857833862,,,,tootsie-8b-soft-raccoon-3
821498,1.7304784059524536,,,,tootsie-8b-soft-raccoon-3
821502,1.7294342517852783,,,,tootsie-8b-soft-raccoon-3
821503,1.7370901107788086,,,,tootsie-8b-soft-raccoon-3
821505,1.7267770767211914,,,,tootsie-8b-soft-raccoon-3
821512,1.7227438688278198,,,,tootsie-8b-soft-raccoon-3
821517,1.7473615407943726,,,,tootsie-8b-soft-raccoon-3
821522,1.7152647972106934,,,,tootsie-8b-soft-raccoon-3
821523,1.7238309383392334,,,,tootsie-8b-soft-raccoon-3
821531,1.7213563919067383,,,,tootsie-8b-soft-raccoon-3
821533,1.7326409816741943,,,,tootsie-8b-soft-raccoon-3
821548,1.7397868633270264,,,,tootsie-8b-soft-raccoon-3
821554,1.713247537612915,,,,tootsie-8b-soft-raccoon-3
821557,1.7114989757537842,,,,tootsie-8b-soft-raccoon-3
821565,1.7061264514923096,,,,tootsie-8b-soft-raccoon-3
821577,1.7410314083099365,,,,tootsie-8b-soft-raccoon-3
821593,1.727352499961853,,,,tootsie-8b-soft-raccoon-3
821595,1.7356325387954712,,,,tootsie-8b-soft-raccoon-3
821605,1.7381889820098877,,,,tootsie-8b-soft-raccoon-3
821606,1.7382808923721313,,,,tootsie-8b-soft-raccoon-3
821608,1.7374072074890137,,,,tootsie-8b-soft-raccoon-3
821609,1.721626877784729,,,,tootsie-8b-soft-raccoon-3
821616,1.714917778968811,,,,tootsie-8b-soft-raccoon-3
821618,1.7326185703277588,,,,tootsie-8b-soft-raccoon-3
821621,1.7351831197738647,,,,tootsie-8b-soft-raccoon-3
821625,1.7351187467575073,,,,tootsie-8b-soft-raccoon-3
821626,1.7311288118362427,,,,tootsie-8b-soft-raccoon-3
821630,1.7223913669586182,,,,tootsie-8b-soft-raccoon-3
821634,1.727712869644165,,,,tootsie-8b-soft-raccoon-3
821645,1.7239761352539062,,,,tootsie-8b-soft-raccoon-3
821649,1.7186155319213867,,,,tootsie-8b-soft-raccoon-3
821650,1.7157087326049805,,,,tootsie-8b-soft-raccoon-3
821656,1.7182457447052002,,,,tootsie-8b-soft-raccoon-3
821662,1.7353953123092651,,,,tootsie-8b-soft-raccoon-3
821665,1.7318792343139648,,,,tootsie-8b-soft-raccoon-3
821673,1.729081630706787,,,,tootsie-8b-soft-raccoon-3
821679,1.7134143114089966,,,,tootsie-8b-soft-raccoon-3
821684,1.7308332920074463,,,,tootsie-8b-soft-raccoon-3
821694,1.723657250404358,,,,tootsie-8b-soft-raccoon-3
821720,1.7404100894927979,,,,tootsie-8b-soft-raccoon-3
821721,1.7387912273406982,,,,tootsie-8b-soft-raccoon-3
821730,1.7294011116027832,,,,tootsie-8b-soft-raccoon-3
821745,1.7264297008514404,,,,tootsie-8b-soft-raccoon-3
821758,1.7125217914581299,,,,tootsie-8b-soft-raccoon-3
821767,1.731508493423462,,,,tootsie-8b-soft-raccoon-3
821768,1.7371459007263184,,,,tootsie-8b-soft-raccoon-3
821779,1.7198100090026855,,,,tootsie-8b-soft-raccoon-3
821782,1.7334340810775757,,,,tootsie-8b-soft-raccoon-3
821784,1.7381559610366821,,,,tootsie-8b-soft-raccoon-3
821799,1.728155493736267,,,,tootsie-8b-soft-raccoon-3
821828,1.7360901832580566,,,,tootsie-8b-soft-raccoon-3
821832,1.7215641736984253,,,,tootsie-8b-soft-raccoon-3
821834,1.7133073806762695,,,,tootsie-8b-soft-raccoon-3
821838,1.731125831604004,,,,tootsie-8b-soft-raccoon-3
821841,1.7271355390548706,,,,tootsie-8b-soft-raccoon-3
821842,1.734257698059082,,,,tootsie-8b-soft-raccoon-3
821845,1.7212835550308228,,,,tootsie-8b-soft-raccoon-3
821846,1.7232497930526733,,,,tootsie-8b-soft-raccoon-3
821848,1.7171002626419067,,,,tootsie-8b-soft-raccoon-3
821850,1.7075552940368652,,,,tootsie-8b-soft-raccoon-3
821869,1.7204934358596802,,,,tootsie-8b-soft-raccoon-3
821881,1.7114312648773193,,,,tootsie-8b-soft-raccoon-3
821885,1.7206932306289673,,,,tootsie-8b-soft-raccoon-3
821891,1.7302255630493164,,,,tootsie-8b-soft-raccoon-3
821893,1.7286843061447144,,,,tootsie-8b-soft-raccoon-3
821919,1.707763910293579,,,,tootsie-8b-soft-raccoon-3
821926,1.7364821434020996,,,,tootsie-8b-soft-raccoon-3
821928,1.7292832136154175,,,,tootsie-8b-soft-raccoon-3
821933,1.7206906080245972,,,,tootsie-8b-soft-raccoon-3
821940,1.7175805568695068,,,,tootsie-8b-soft-raccoon-3
821944,1.7183529138565063,,,,tootsie-8b-soft-raccoon-3
821945,1.7078622579574585,,,,tootsie-8b-soft-raccoon-3
821953,1.718935489654541,,,,tootsie-8b-soft-raccoon-3
821959,1.7261707782745361,,,,tootsie-8b-soft-raccoon-3
821960,1.7264586687088013,,,,tootsie-8b-soft-raccoon-3
821969,1.724356770515442,,,,tootsie-8b-soft-raccoon-3
821981,1.7148088216781616,,,,tootsie-8b-soft-raccoon-3
821983,1.7169864177703857,,,,tootsie-8b-soft-raccoon-3
821997,1.7371262311935425,,,,tootsie-8b-soft-raccoon-3
822000,,2.6015877723693848,1.4737070798873901,2.4671456813812256,tootsie-8b-soft-raccoon-3
822004,1.7038463354110718,,,,tootsie-8b-soft-raccoon-3
822008,1.7227245569229126,,,,tootsie-8b-soft-raccoon-3
822025,1.7280235290527344,,,,tootsie-8b-soft-raccoon-3
822031,1.728333592414856,,,,tootsie-8b-soft-raccoon-3
822033,1.7250133752822876,,,,tootsie-8b-soft-raccoon-3
822034,1.7442208528518677,,,,tootsie-8b-soft-raccoon-3
822047,1.7257850170135498,,,,tootsie-8b-soft-raccoon-3
822051,1.7348895072937012,,,,tootsie-8b-soft-raccoon-3
822057,1.7425287961959839,,,,tootsie-8b-soft-raccoon-3
