_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
824525,1.7121381759643555,,,,tootsie-8b-focused-spoonbill-zloss
824526,1.727388858795166,,,,tootsie-8b-focused-spoonbill-zloss
824529,1.7054798603057861,,,,tootsie-8b-focused-spoonbill-zloss
824532,1.705987572669983,,,,tootsie-8b-focused-spoonbill-zloss
824535,1.7013089656829834,,,,tootsie-8b-focused-spoonbill-zloss
824539,1.6966897249221802,,,,tootsie-8b-focused-spoonbill-zloss
824542,1.6961700916290283,,,,tootsie-8b-focused-spoonbill-zloss
824543,1.6832948923110962,,,,tootsie-8b-focused-spoonbill-zloss
824552,1.7051008939743042,,,,tootsie-8b-focused-spoonbill-zloss
824555,1.685837984085083,,,,tootsie-8b-focused-spoonbill-zloss
824557,1.7131626605987549,,,,tootsie-8b-focused-spoonbill-zloss
824558,1.7031011581420898,,,,tootsie-8b-focused-spoonbill-zloss
824568,1.7059240341186523,,,,tootsie-8b-focused-spoonbill-zloss
824569,1.6925941705703735,,,,tootsie-8b-focused-spoonbill-zloss
824572,1.7200775146484375,,,,tootsie-8b-focused-spoonbill-zloss
824575,1.6852601766586304,,,,tootsie-8b-focused-spoonbill-zloss
824578,1.7098811864852905,,,,tootsie-8b-focused-spoonbill-zloss
824579,1.7046432495117188,,,,tootsie-8b-focused-spoonbill-zloss
824580,1.6932874917984009,,,,tootsie-8b-focused-spoonbill-zloss
824585,1.7100144624710083,,,,tootsie-8b-focused-spoonbill-zloss
824587,1.7147632837295532,,,,tootsie-8b-focused-spoonbill-zloss
824589,1.7141674757003784,,,,tootsie-8b-focused-spoonbill-zloss
824590,1.7041252851486206,,,,tootsie-8b-focused-spoonbill-zloss
824594,1.69838547706604,,,,tootsie-8b-focused-spoonbill-zloss
824598,1.7135945558547974,,,,tootsie-8b-focused-spoonbill-zloss
824602,1.7163255214691162,,,,tootsie-8b-focused-spoonbill-zloss
824606,1.6940711736679077,,,,tootsie-8b-focused-spoonbill-zloss
824610,1.7040640115737915,,,,tootsie-8b-focused-spoonbill-zloss
824612,1.695493459701538,,,,tootsie-8b-focused-spoonbill-zloss
824615,1.707750916481018,,,,tootsie-8b-focused-spoonbill-zloss
824616,1.6992937326431274,,,,tootsie-8b-focused-spoonbill-zloss
824620,1.68718421459198,,,,tootsie-8b-focused-spoonbill-zloss
824627,1.7058427333831787,,,,tootsie-8b-focused-spoonbill-zloss
824628,1.710042119026184,,,,tootsie-8b-focused-spoonbill-zloss
824633,1.6989147663116455,,,,tootsie-8b-focused-spoonbill-zloss
824637,1.7084146738052368,,,,tootsie-8b-focused-spoonbill-zloss
824641,1.7083076238632202,,,,tootsie-8b-focused-spoonbill-zloss
824646,1.7063854932785034,,,,tootsie-8b-focused-spoonbill-zloss
824648,1.7194576263427734,,,,tootsie-8b-focused-spoonbill-zloss
824654,1.7272080183029175,,,,tootsie-8b-focused-spoonbill-zloss
824655,1.6875896453857422,,,,tootsie-8b-focused-spoonbill-zloss
824656,1.7126545906066895,,,,tootsie-8b-focused-spoonbill-zloss
824674,1.6871159076690674,,,,tootsie-8b-focused-spoonbill-zloss
824675,1.710663080215454,,,,tootsie-8b-focused-spoonbill-zloss
824676,1.7063583135604858,,,,tootsie-8b-focused-spoonbill-zloss
824683,1.6973334550857544,,,,tootsie-8b-focused-spoonbill-zloss
824684,1.6945140361785889,,,,tootsie-8b-focused-spoonbill-zloss
824685,1.7154728174209595,,,,tootsie-8b-focused-spoonbill-zloss
824687,1.7021253108978271,,,,tootsie-8b-focused-spoonbill-zloss
824694,1.697957158088684,,,,tootsie-8b-focused-spoonbill-zloss
824701,1.6836769580841064,,,,tootsie-8b-focused-spoonbill-zloss
824706,1.7184759378433228,,,,tootsie-8b-focused-spoonbill-zloss
824708,1.7123537063598633,,,,tootsie-8b-focused-spoonbill-zloss
824709,1.7060397863388062,,,,tootsie-8b-focused-spoonbill-zloss
824713,1.7022372484207153,,,,tootsie-8b-focused-spoonbill-zloss
824720,1.7152783870697021,,,,tootsie-8b-focused-spoonbill-zloss
824721,1.6949728727340698,,,,tootsie-8b-focused-spoonbill-zloss
824723,1.706084132194519,,,,tootsie-8b-focused-spoonbill-zloss
824724,1.7020461559295654,,,,tootsie-8b-focused-spoonbill-zloss
824726,1.6893584728240967,,,,tootsie-8b-focused-spoonbill-zloss
824728,1.711292028427124,,,,tootsie-8b-focused-spoonbill-zloss
824729,1.6989363431930542,,,,tootsie-8b-focused-spoonbill-zloss
824745,1.6867505311965942,,,,tootsie-8b-focused-spoonbill-zloss
824748,1.7173080444335938,,,,tootsie-8b-focused-spoonbill-zloss
824751,1.7060331106185913,,,,tootsie-8b-focused-spoonbill-zloss
824752,1.68723464012146,,,,tootsie-8b-focused-spoonbill-zloss
824758,1.6975620985031128,,,,tootsie-8b-focused-spoonbill-zloss
824766,1.716156005859375,,,,tootsie-8b-focused-spoonbill-zloss
824767,1.6871312856674194,,,,tootsie-8b-focused-spoonbill-zloss
824769,1.6912561655044556,,,,tootsie-8b-focused-spoonbill-zloss
824772,1.695635199546814,,,,tootsie-8b-focused-spoonbill-zloss
824775,1.7019166946411133,,,,tootsie-8b-focused-spoonbill-zloss
824776,1.6958861351013184,,,,tootsie-8b-focused-spoonbill-zloss
824782,1.708920955657959,,,,tootsie-8b-focused-spoonbill-zloss
824786,1.6956557035446167,,,,tootsie-8b-focused-spoonbill-zloss
824787,1.6940847635269165,,,,tootsie-8b-focused-spoonbill-zloss
824794,1.699127197265625,,,,tootsie-8b-focused-spoonbill-zloss
824796,1.6968085765838623,,,,tootsie-8b-focused-spoonbill-zloss
824798,1.7161880731582642,,,,tootsie-8b-focused-spoonbill-zloss
824799,1.6975971460342407,,,,tootsie-8b-focused-spoonbill-zloss
824802,1.7050766944885254,,,,tootsie-8b-focused-spoonbill-zloss
824804,1.7039860486984253,,,,tootsie-8b-focused-spoonbill-zloss
824806,1.7045726776123047,,,,tootsie-8b-focused-spoonbill-zloss
824808,1.6921627521514893,,,,tootsie-8b-focused-spoonbill-zloss
824813,1.700700283050537,,,,tootsie-8b-focused-spoonbill-zloss
824815,1.6982085704803467,,,,tootsie-8b-focused-spoonbill-zloss
824818,1.7031325101852417,,,,tootsie-8b-focused-spoonbill-zloss
824819,1.6853208541870117,,,,tootsie-8b-focused-spoonbill-zloss
824827,1.702728509902954,,,,tootsie-8b-focused-spoonbill-zloss
824832,1.713903784751892,,,,tootsie-8b-focused-spoonbill-zloss
824838,1.699912667274475,,,,tootsie-8b-focused-spoonbill-zloss
824840,1.7000062465667725,,,,tootsie-8b-focused-spoonbill-zloss
824841,1.7196730375289917,,,,tootsie-8b-focused-spoonbill-zloss
824842,1.708945631980896,,,,tootsie-8b-focused-spoonbill-zloss
824845,1.7023844718933105,,,,tootsie-8b-focused-spoonbill-zloss
824846,1.6902927160263062,,,,tootsie-8b-focused-spoonbill-zloss
