_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
160002,1.8409913778305054,,,,tootsie-32b-cooldown-mantis-adamc-v2
160061,1.7962150573730469,,,,tootsie-32b-cooldown-mantis-adamc-v2
160063,1.8003158569335938,,,,tootsie-32b-cooldown-mantis-adamc-v2
160074,1.8048920631408691,,,,tootsie-32b-cooldown-mantis-adamc-v2
160130,1.797977089881897,,,,tootsie-32b-cooldown-mantis-adamc-v2
160182,1.7884677648544312,,,,tootsie-32b-cooldown-mantis-adamc-v2
160184,1.7931612730026245,,,,tootsie-32b-cooldown-mantis-adamc-v2
160185,1.7900601625442505,,,,tootsie-32b-cooldown-mantis-adamc-v2
160189,1.7956035137176514,,,,tootsie-32b-cooldown-mantis-adamc-v2
160200,1.7904045581817627,,,,tootsie-32b-cooldown-mantis-adamc-v2
160228,1.7898738384246826,,,,tootsie-32b-cooldown-mantis-adamc-v2
160270,1.7845700979232788,,,,tootsie-32b-cooldown-mantis-adamc-v2
160284,1.7867798805236816,,,,tootsie-32b-cooldown-mantis-adamc-v2
160291,1.7836518287658691,,,,tootsie-32b-cooldown-mantis-adamc-v2
160314,1.7852205038070679,,,,tootsie-32b-cooldown-mantis-adamc-v2
160322,1.7819082736968994,,,,tootsie-32b-cooldown-mantis-adamc-v2
160323,1.7865803241729736,,,,tootsie-32b-cooldown-mantis-adamc-v2
160344,1.7815057039260864,,,,tootsie-32b-cooldown-mantis-adamc-v2
160361,1.7763084173202515,,,,tootsie-32b-cooldown-mantis-adamc-v2
160371,1.7835592031478882,,,,tootsie-32b-cooldown-mantis-adamc-v2
160378,1.7822685241699219,,,,tootsie-32b-cooldown-mantis-adamc-v2
160397,1.7844418287277222,,,,tootsie-32b-cooldown-mantis-adamc-v2
160445,1.777709722518921,,,,tootsie-32b-cooldown-mantis-adamc-v2
160446,1.7781378030776978,,,,tootsie-32b-cooldown-mantis-adamc-v2
160469,1.7802518606185913,,,,tootsie-32b-cooldown-mantis-adamc-v2
160519,1.782538652420044,,,,tootsie-32b-cooldown-mantis-adamc-v2
160524,1.780663013458252,,,,tootsie-32b-cooldown-mantis-adamc-v2
160565,1.7814289331436157,,,,tootsie-32b-cooldown-mantis-adamc-v2
160571,1.7681469917297363,,,,tootsie-32b-cooldown-mantis-adamc-v2
160612,1.778325080871582,,,,tootsie-32b-cooldown-mantis-adamc-v2
160614,1.775822401046753,,,,tootsie-32b-cooldown-mantis-adamc-v2
160643,1.7766438722610474,,,,tootsie-32b-cooldown-mantis-adamc-v2
160650,1.779689073562622,,,,tootsie-32b-cooldown-mantis-adamc-v2
160681,1.777733325958252,,,,tootsie-32b-cooldown-mantis-adamc-v2
160708,1.7736519575119019,,,,tootsie-32b-cooldown-mantis-adamc-v2
160734,1.7793418169021606,,,,tootsie-32b-cooldown-mantis-adamc-v2
160839,1.772740364074707,,,,tootsie-32b-cooldown-mantis-adamc-v2
160868,1.7841041088104248,,,,tootsie-32b-cooldown-mantis-adamc-v2
160877,1.7727634906768799,,,,tootsie-32b-cooldown-mantis-adamc-v2
160884,1.7862489223480225,,,,tootsie-32b-cooldown-mantis-adamc-v2
160885,1.7827295064926147,,,,tootsie-32b-cooldown-mantis-adamc-v2
160905,1.7809607982635498,,,,tootsie-32b-cooldown-mantis-adamc-v2
160910,1.774513602256775,,,,tootsie-32b-cooldown-mantis-adamc-v2
160928,1.7749104499816895,,,,tootsie-32b-cooldown-mantis-adamc-v2
160940,1.7710673809051514,,,,tootsie-32b-cooldown-mantis-adamc-v2
161000,,2.266045570373535,2.0366156101226807,2.280456066131592,tootsie-32b-cooldown-mantis-adamc-v2
161037,1.767544150352478,,,,tootsie-32b-cooldown-mantis-adamc-v2
161049,1.7684202194213867,,,,tootsie-32b-cooldown-mantis-adamc-v2
161056,1.7750884294509888,,,,tootsie-32b-cooldown-mantis-adamc-v2
161068,1.771885871887207,,,,tootsie-32b-cooldown-mantis-adamc-v2
161084,1.7663259506225586,,,,tootsie-32b-cooldown-mantis-adamc-v2
161101,1.7691664695739746,,,,tootsie-32b-cooldown-mantis-adamc-v2
161130,1.7644494771957397,,,,tootsie-32b-cooldown-mantis-adamc-v2
161134,1.7752677202224731,,,,tootsie-32b-cooldown-mantis-adamc-v2
