_step,train/loss,eval/paloma/c4_en/loss,eval/loss,eval/macro_loss,_segment
0,,12.264113426208496,12.240882873535156,11.480253219604492,tootsie-scaling-1024-b45766
60,8.02045726776123,,,,tootsie-scaling-1024-b45766
62,7.868955612182617,,,,tootsie-scaling-1024-b45766
73,7.474143028259277,,,,tootsie-scaling-1024-b45766
181,5.857145309448242,,,,tootsie-scaling-1024-b45766
184,5.836792945861816,,,,tootsie-scaling-1024-b45766
188,5.840432167053223,,,,tootsie-scaling-1024-b45766
199,5.72199821472168,,,,tootsie-scaling-1024-b45766
227,5.520381927490234,,,,tootsie-scaling-1024-b45766
269,5.24056339263916,,,,tootsie-scaling-1024-b45766
283,5.240828514099121,,,,tootsie-scaling-1024-b45766
290,5.174713134765625,,,,tootsie-scaling-1024-b45766
313,5.04834508895874,,,,tootsie-scaling-1024-b45766
321,5.055290222167969,,,,tootsie-scaling-1024-b45766
322,5.024646282196045,,,,tootsie-scaling-1024-b45766
343,4.916750431060791,,,,tootsie-scaling-1024-b45766
360,4.855647087097168,,,,tootsie-scaling-1024-b45766
377,4.7639994621276855,,,,tootsie-scaling-1024-b45766
468,4.327334880828857,,,,tootsie-scaling-1024-b45766
518,4.25607967376709,,,,tootsie-scaling-1024-b45766
523,4.230431079864502,,,,tootsie-scaling-1024-b45766
570,4.056065082550049,,,,tootsie-scaling-1024-b45766
649,3.897122383117676,,,,tootsie-scaling-1024-b45766
680,3.8508729934692383,,,,tootsie-scaling-1024-b45766
707,3.8075618743896484,,,,tootsie-scaling-1024-b45766
733,3.734631061553955,,,,tootsie-scaling-1024-b45766
838,3.6306002140045166,,,,tootsie-scaling-1024-b45766
867,3.6257004737854004,,,,tootsie-scaling-1024-b45766
883,3.6204335689544678,,,,tootsie-scaling-1024-b45766
904,3.5867490768432617,,,,tootsie-scaling-1024-b45766
909,3.5931687355041504,,,,tootsie-scaling-1024-b45766
927,3.5779237747192383,,,,tootsie-scaling-1024-b45766
1055,3.47285532951355,,,,tootsie-scaling-1024-b45766
1067,3.4467906951904297,,,,tootsie-scaling-1024-b45766
