base,params,exp,teacher,n_examples,repeat,max_tokens,step,benchmark,mean,std,n_seeds,wandb_run,created,state
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,1,32768,394,AIME25,0.1233,0.0446,10,q39uukfw,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,1,32768,394,AMC23,0.49,0.0503,10,gvmuaghd,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,1,32768,394,HMMT,0.0733,0.0466,10,cmzzx1je,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,1,32768,394,MATH500,0.7027,0.0081,3,881dq79b,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,2,32768,394,AIME24,0.1567,0.0274,10,wsmpdjq4,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,2,32768,394,AIME25,0.1333,0.0385,10,ai1dcm34,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,2,32768,394,AMC23,0.5175,0.0472,10,tstcuzj5,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,2,32768,394,HMMT,0.1067,0.0306,10,tgy1f46i,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,2,32768,394,MATH500,0.7487,0.0197,3,5yirievy,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,3,32768,394,AIME24,0.1567,0.0589,10,8rrrg6d6,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,3,32768,394,AIME25,0.1367,0.0367,10,ik5wco6n,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,3,32768,394,AMC23,0.5325,0.0501,10,hbayn2dd,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,3,32768,394,HMMT,0.1033,0.0189,10,xm610475,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,10000,3,32768,394,MATH500,0.748,0.002,3,s5mf8rif,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,50000,1,32768,391,AIME24,0.1167,0.0423,10,waldbuzo,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,50000,1,32768,391,AIME25,0.1167,0.0283,10,dyamcaed,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,50000,1,32768,391,AMC23,0.4575,0.0409,10,87m4cvln,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,50000,1,32768,391,HMMT,0.09,0.0353,10,s7wxoz89,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,kimi-k2pt5,50000,1,32768,391,MATH500,0.7173,0.0081,3,ospmu6za,2026-05-05,finished
